Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
ಆ ಪ್ರದೇಶ ಕ್ಲಾಸ್ ರೂಮ್ನಂತೆ ವಿಶಾಲವಾಗಿದೆ.,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""Comparing the area to a classroom means that it is spacious."",
  ""answer"": 0
}",0,,0
ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಸೋತವರಂತೆ ಇತ್ತು.,ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿತ್ತು,ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ,1,"{
  ""Explanation"": ""The metaphor is comparing the performance to that of losers, so the meaning would be closer to 'ಪ್ರದರ್ಶನ ಸೋತವರಂತೆ ಇತ್ತು.'"",
  ""Answer"": 0
}",0,,0
ಆ ವಸ್ತು ಪಕ್ಷಿ ಥರ ಸಣ್ಣದಿದೆ,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು,1,"{
  ""explanation"": ""In this metaphor, the focus is on the size of the object being compared to a bird's egg, so the meaning of 'ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು' (the size of the object is small) is the closest to the metaphor."",
  ""answer"": 0
}",0,,0
ಆ ಹವ್ಯಾಸ ಧ್ಯಾನದಂತೆ ಕೆಟ್ಟದ್ದು.,ಆ ಹವ್ಯಾಸ ಕೆಟ್ಟದ್ದು,ಆ ಹವ್ಯಾಸ ಒಳ್ಳೆಯದು,1,"{
  ""explanation"": ""The metaphor is comparing the habit to meditation, implying that it is bad."",
  ""answer"": 0
}",0,,0
ಆ ಪ್ರಾಣಿ ಆನೆಯಷ್ಟು ಹಳೆಯದು.,ಆ ಪ್ರಾಣಿ ಹಳೆಯದು,ಆ ಪ್ರಾಣಿ ಹಳೆಯದೇನಲ್ಲ,1,"{
  ""Explanation"": ""Comparing the age of an animal to that of an elephant suggests that the animal is very old."",
  ""Answer"": 0
}",0,,0
ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ನಂತೆ ಅಗತ್ಯವಾಗಿದೆ.,ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯ,ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯವೇನಲ್ಲ,0,"{
  ""Startphrase"": ""ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ನಂತೆ ಅಗತ್ಯವಾಗಿದೆ."",
  ""Options"": {
    ""0"": ""ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯ"",
    ""1"": ""ಉಸಿರಾಡ",1,NG,0
ಉಸಿರಾಡಲು ಕಾರ್ಬನ್ ಡೈಆಕ್ಸೈಡ್ ನಂತೆ ಅಗತ್ಯವಾಗಿದೆ.,ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯ,ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯವೇನಲ್ಲ,1,"{
  ""answer"": 0
}

Explanation: In this metaphor, ""breathing is necessary like carbon dioxide"" implies that oxygen is necessary for breathing, similar to how carbon dioxide is necessary for processes like photosynthesis. Option 0) ""ಉಸಿರಾಡಲು ಆಕ್ಸಿಜನ್ ತುಂಬಾ ಅಗತ್ಯ"" aligns better with this comparison, emphasizing the necessity of oxygen for breathing.",0,,0
ಆ ಸ್ಥಳ ತಲುಪಲು ಕಾರ್ ನಷ್ಟು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.,ಆ ಸ್ಥಳ ತಲುಪಲು ಕಡಿಮೆ ಸಮಯ ಬೇಕು,ಆ ಸ್ಥಳ ತಲುಪಲು ಹೆಚ್ಚು ಸಮಯ ಬೇಕು,0,"{
  ""Explanation"": ""This metaphor implies that reaching the destination takes a lot of time, suggesting that it requires more time than usual."",
  ""Answer"": 1
}",1,,0
ಆ ಸ್ಥಳ ತಲುಪಲು ಸೈಕಲ್ ನಷ್ಟು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.,ಆ ಸ್ಥಳ ತಲುಪಲು ಕಡಿಮೆ ಸಮಯ ಬೇಕು,ಆ ಸ್ಥಳ ತಲುಪಲು ಹೆಚ್ಚು ಸಮಯ ಬೇಕು,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares reaching a place to riding a bicycle, implying that it requires less time. Therefore, the meaning closer to the metaphor is option 0) ಆ ಸ್ಥಳ ತಲುಪಲು ಕಡಿಮೆ ಸಮಯ ಬೇಕು (less time is needed to reach that place).",0,,0
ಆಹಾರವು ಬ್ರೇಕ್ ಫಾಸ್ಟ್ ನಷ್ಟು ವಿಶೇಷವಾಗಿತ್ತು .,ಆಹಾರವು ತುಂಬಾ ವಿಶೇಷವಾಗಿತ್ತು,ಆಹಾರವು ಸಾಮಾನ್ಯವಾಗಿತ್ತು,1,"{
  ""explanation"": ""The metaphor compares food to breakfast, implying that the food was special or exceptional."",
  ""answer"": 0
}",0,,0
ಅದರ ಬೆಲೆ ಸಿನಿಮಾ ಟಿಕೆಟ್ ನಷ್ಟು ದುಬಾರಿ.,ಅದರ ಬೆಲೆ ದುಬಾರಿ,ಅದರ ಬೆಲೆ ಅಗ್ಗ,1,"{
  ""explanation"": ""Comparing the value of something to the cost of a movie ticket getting lost or wasted."",
  ""answer"": 0
}",0,,0
ಅವನ ನಂಬಿಕೆಗಳು ಗಾಜಿನಂತೆ ಬಲಿಷ್ಠವಾಗಿವೆ.,ಅವನ ನಂಬಿಕೆ ಬಲಿಷ್ಟವಾಗಿದೆ,ಅವನ ನಂಬಿಕೆ ಬಲಿಷ್ಟವಾಗಿಲ್ಲ,1,"{
  ""answer"": 0
} 

In this metaphor, comparing someone's beliefs to glass symbolizes strength and solidity. Therefore, the correct option is 0) ಅವನ ನಂಬಿಕೆ ಬಲಿಷ್ಟವಾಗಿದೆ (his beliefs are strong).",0,,0
ಅದು ಕೋಡಿಂಗ್ ನಂತೆ ಸುಲಭ.,ಅದು ತುಂಬಾ ಸುಲಭ,ಅದು ಕಷ್ಟ,1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, ""ಕೋಡಿಂಗ್"" refers to coding, which is considered to be something that is easy to understand and manage once you get the hang of it. Therefore, the closest meaning would be ""ಅದು ತುಂಬಾ ಸುಲಭ"" which translates to ""It is very easy.""",0,,0
ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಸೂಟ್ ಧರಿಸಿದ್ದಾನೆ.,ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಧರಿಸಿದ್ದಾನೆ,ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ಉಡುಗೆ ಧರಿಸಿಲ್ಲ,1,"{
  ""Explanation"": ""The metaphor is comparing the traditional attire of wearing a suit to the person's clothing choice."",
  ""Answer"": 0
}",0,,0
ಆ ವಿಷಯವು ವಿಜ್ಞಾನದಷ್ಟು ಲಾಜಿಕ್ ಹೊಂದಿದೆ.,ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿದೆ,ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿಲ್ಲ,0,"{
	""Startphrase"": ""ಆ ವಿಷಯವು ವಿಜ್ಞಾನದಷ್ಟು ಲಾಜಿಕ್ ಹೊಂದಿದೆ."",
	""Options"": {
		""0"": ""ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿದೆ"",
		""1"": ""ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹ",1,NG,0
ಆ ವಿಷಯವು ಮ್ಯಾಜಿಕ್ನಷ್ಟು ಲಾಜಿಕ್ ಹೊಂದಿದೆ.,ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿದೆ,ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the subject to something magical and logical, emphasizing an unusual and intriguing quality. Therefore, the closest meaning is option 0) ಆ ವಿಷಯ ಲಾಜಿಕ್ ಹೊಂದಿದೆ (The subject has both magical and logical qualities)."",
  ""answer"": 0
}",0,,0
ಅವಳು ನಮ್ಮ ಸಂಸ್ಕೃತಿ ಬಿಂಬಿಸುವ ಸ್ಕರ್ಟ್ ಧರಿಸಿದ್ದಳು .,ಅವಳು ನಮ್ಮ ಸಂಸ್ಕೃತಿಯನ್ನು ಬಿಂಬಿಸುತ್ತಿದ್ದಳು,ಅವಳು ನಮ್ಮ ಸಂಸ್ಕೃತಿಯನ್ನು ಬಿಂಬಿಸುತ್ತಿರಲಿಲ್ಲ,1,"{
  ""answer"": 0
}

Explanation: The metaphor here is comparing the act of wearing a skirt to reflecting our culture. Option 0) ""ಅವಳು ನಮ್ಮ ಸಂಸ್ಕೃತಿಯನ್ನು ಬಿಂಬಿಸುತ್ತಿದ್ದಳು"" is the closer meaning, stating that she was reflecting our culture by wearing the skirt. Option 1) ""ಅವಳು ನಮ್ಮ ಸಂ",0,,0
ಅವನು ನಾಗರಿಕರಷ್ಟು ಪ್ರಭಾವಶಾಲಿ.,ಅವನು ಪ್ರಭಾವಶಾಲಿ,ಅವನು ಸಾಮಾನ್ಯ,1,"{
  ""Explanation"": ""The metaphor compares the person to being as influential as the citizens."",
  ""Answer"": 0
}",0,,0
ಆ ಸ್ಥಳವು ನಗರದಂತೆ ಹಸಿರಾಗಿದೆ .,ಆ ಸ್ಥಳವು ಹಸಿರಾಗಿದೆ,ಆ ಸ್ಥಳವು ಹಸಿರಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the place to being green like a city, implying that the place is vibrant, lively, and bustling like a city."",
  ""answer"": 0
}",0,,0
ಅರಬ್ ದೇಶಗಳಲ್ಲಿ ಪೆಟ್ರೋಲಿಯಂನಿಂದ ಶ್ರೀಮಂತಿಕೆ ಹೊಂದಿವೆ.,ಅರಬ್ ದೇಶಗಳು ಪೆಟ್ರೋಲಿಯಂನಿಂದ ಶ್ರೀಮಂತವಾಗಿವೆ,ಅರಬ್ ದೇಶಗಳು ಪೆಟ್ರೋಲಿಯಂನಿಂದ ಶ್ರೀಮಂತವಾಗಿಲ್ಲ,0,"{
  ""error"": ""Explanation required.""
}",1,NG,0
ಆಕಾಶವು ಬೇಸಿಗೆಯಂತೆ ಮೋಡದಿಂದ ಕೂಡಿದೆ .,ಆಕಾಶವು ಹೆಚ್ಚು ಮೋಡದಿಂದ ಕೂಡಿದೆ,ಆಕಾಶವು ಕಡಿಮೆ ಮೋಡದಿಂದ ಕೂಡಿದೆ,1,"{
  ""explanation"": ""The metaphor is comparing the sky to the rainy season, indicating that the sky is filled with clouds like during monsoon. Therefore, the meaning closer to the metaphor is 'ಆಕಾಶವು ಹೆಚ್ಚು ಮೋಡದಿಂದ ಕೂಡಿದೆ'"",
  ""answer"": 0
}",0,,0
ಆ ಜಾಗವು ಸರ್ಕಾರಿ ಆಫೀಸ್ ನಂತೆ ಸುಂದರವಾಗಿದೆ.,ಆ ಜಾಗ ಸುಂದರವಾಗಿದೆ,ಆ ಜಾಗ ಸುಂದರವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""This metaphor is comparing the place to a government office, implying that it is well-organized and attractive."",
  ""answer"": 0
}",0,,0
ಅದು ಬೆಲ್ಲಕಿಂತಲೂ ಕಹಿಯಾಗಿದೆ,ಅದು ಕಹಿಯಾಗಿತ್ತು,ಅದು ಸಿಹಿಯಾಗಿತ್ತು,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares something to being more bitter than jaggery (bellaku), which is known for its sweetness. Therefore, the closer meaning would be that it used to be sweet (option 1) but now it is bitter.",0,,0
ಆ ಜಾಗವೂ ಚಿತ್ರಮಂದಿರ ದಷ್ಟು ದೂರದಲ್ಲಿದೆ,ಆ ಜಾಗ ದೂರದಲ್ಲಿದೆ,ಆ ಜಾಗ ಹತ್ತಿರದಲ್ಲಿದೆ,1,"{
	""answer"": 0
}

Explanation: This metaphor implies that the place is far away like a temple. Therefore, the closest meaning would be ""ಆ ಜಾಗ ದೂರದಲ್ಲಿದೆ"" which means ""the place is far away"".",0,,0
ಆ ವಿಷಯವು ವಿಶ್ವಕಪ್ ಗೆಲುವಿನ ಹಾಗೆ ಬೇಸರ ತರಿಸಿತ್ತು,ಆ ವಿಷಯ ಬೇಸರ ತರಿಸಿತ್ತು,ಆ ವಿಷಯ ಸಂತಸ ಮೂಡಿಸಿತ್ತು,1,"{
  ""question"": ""ಆ ವಿಷಯವು ವಿಶ್ವಕಪ್ ಗೆಲುವಿನ ಹಾಗೆ ಬೇಸರ ತರಿಸಿತ್ತು"",
  ""option0"": ""ಆ ವಿಷಯ ಬೇಸರ ತರಿಸಿತ್ತು"",
  ""option1"": ""ಆ ವಿಷಯ ಸಂತ",0,NG,0
ಆ ಸಂಗತಿ ಶಿಕ್ಷಣದಷ್ಟು ಮುಖ್ಯವಾಗಿದೆ,ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿದೆ,ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿಲ್ಲ,0,"{
  ""Startphrase"": ""ಆ ಸಂಗತಿ ಶಿಕ್ಷಣದಷ್ಟು ಮುಖ್ಯವಾಗಿದೆ"",
  ""Options"": {
    ""0"": ""ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿದೆ"",
    ""1"": ""ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿಲ್ಲ",1,NG,0
ಆ ಸಂಗತಿ ಪ್ರಯಾಣದಷ್ಟು ಮುಖ್ಯವಾಗಿದೆ,ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿದೆ,ಆ ಸಂಗತಿ ಮುಖ್ಯವಾಗಿಲ್ಲ,1,"{
  ""answer"": 0
}",0,,0
ಆ ಅಪ್ಲಿಕೇಶನ್  ಜಿಮೇಲ್ ನಷ್ಟು ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ,ಆ ಅಪ್ಲಿಕೇಶನ್ ಹೆಚ್ಚು ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ,ಆ ಅಪ್ಲಿಕೇಶನ್ ಕಡಿಮೆ ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ,0,"{
  ""question"": ""ಆ ಅಪ್ಲಿಕೇಶನ್  ಜಿಮೇಲ್ ನಷ್ಟು ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿದೆ"",
  ""options"": {
    ""0"": ""ಆ ಅಪ್ಲಿಕೇಶನ್ ಹೆಚ್ಚು ಬಳಕೆದಾರರ",1,NG,0
ಈ ಆಹಾರವು ಅಕ್ಕಿ ಯಷ್ಟು ಪ್ರೊಟೀನ್ ಅಂಶ ಹೊಂದಿದೆ,ಆಹಾರದಲ್ಲಿ ಹೆಚ್ಚು ಪ್ರೋಟೀನ್ ಅಂಶವಿದೆ,ಆಹಾರದಲ್ಲಿ ಕಡಿಮೆ ಪ್ರೋಟೀನ್ ಅಂಶವಿದೆ,1,"{
  ""explanation"": ""The metaphor is comparing the protein content of the food to rice, implying that the food has a moderate amount of protein similar to rice."",
  ""answer"": 0
}",0,,0
ಅದು ಡ್ರೈ ಫ್ರೂಟ್ಸ್ ನಂತೆ ದುಬಾರಿ,ಡ್ರೈ ಫ್ರೂಟ್ಸ್ ದುಬಾರಿ,ಡ್ರೈಫ್ರೂಟ್ಸ್ ನಂತೆ ದುಬಾರಿ ಅಲ್ಲ,0,"{
  ""question"": ""ಅದು ಡ್ರೈ ಫ್ರೂಟ್ಸ್ ನಂತೆ ದುಬಾರಿ"",
  ""options"": [
    ""ಡ್ರೈ ಫ್ರೂಟ್ಸ್ ದುಬಾರಿ"",
    ""ಡ್ರೈಫ್ರೂಟ್ಸ್ ನಂತೆ ದುಬಾರಿ ಅ",1,NG,0
ಅದು ತರಕಾರಿಯಷ್ಟು ದುಬಾರಿ,ಡ್ರೈ ಫ್ರೂಟ್ಸ್ ದುಬಾರಿ,ಡ್ರೈಫ್ರೂಟ್ಸ್ ನಂತೆ ದುಬಾರಿ ಅಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the situation to the repeated act of peeling vegetables, not the similarity between vegetables and fruits."",
  ""answer"": 0
}",0,,0
ಆ ವಿಷಯವು ಜಾದೂವಿನಷ್ಟು ವೈಜ್ಞಾನಿಕವಾಗಿತ್ತು,ಆ ವಿಷಯ ವೈಜ್ಞಾನಿಕವಾಗಿತ್ತು,ಆ ವಿಷಯ ವೈಜ್ಞಾನಿಕವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the subject to a puzzle that is as complex as a magic trick, implying that it was very scientific."",
  ""answer"": 0
}",0,,0
ಅವರು ಸಾಮಾನ್ಯ ಜನರಂತೆ ಶ್ರೀಮಂತರು,ಅವರು ಶ್ರೀಮಂತರು,ಅವರು ಶ್ರೀಮಂತರೇನಲ್ಲ,1,"{
  ""answer"": 0
}

Explanation: In this metaphor, the comparison is between ""ಅವರು"" (they) and ""ಶ್ರೀಮಂತರು"" (wealthy people). The closest meaning is that they are like wealthy people, so the correct option is 0) ಅವರು ಶ್ರೀಮಂತರು.",0,,0
ಆ ದೃಶ್ಯವೂ ಟ್ರಾಫಿಕ್ ಜಾಮ್ ನಂತೆ ಅದ್ಬುತವಾಗಿತ್ತು,ಆ ದೃಶ್ಯ ಅದ್ಭುತವಾಗಿತ್ತು,ಆ ದೃಶ್ಯ ಅದ್ಭುತವಾಗಿರಲಿಲ್ಲ,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the scene to a traffic jam, implying that it was amazing or fantastic. Option 0) reflects this interpretation, stating that the scene was indeed amazing. Option 1) says that the scene was not amazing, which is not in line with the metaphor.",0,,0
ಆ ಸ್ಥಳವು ಬಸ್ ಸ್ಟೇಷನ್ ನ ಹಾಗೆ ನಿಶ್ಶಬ್ದವಾಗಿದೆ.,ಆ ಸ್ಥಳವು ನಿಶಬ್ದವಾಗಿದೆ,ಆ ಸ್ಥಳವು ನಿಶಬ್ದವಾಗಿಲ್ಲ,1,"{
  ""answer"": 0
}",0,,0
ಅದು ನಕ್ಷತ್ರ ಗಳಂತೆ ಬಹಳ ಅಪರೂಪ,ಅದು ಬಹಳ ಅಪರೂಪ,ಅದು ಬಹಳ  ಅಪರೂಪವೇನಲ್ಲ,1,"{
  ""question"": ""ಅದು ನಕ್ಷತ್ರ ಗಳಂತೆ ಬಹಳ ಅಪರೂಪ"",
  ""options"": {
    ""0"": ""ಅದು ಬಹಳ ಅಪರೂಪ"",
    ""1"": ""ಅದು ಬಹಳ ಅಪರೂಪವೇನಲ್ಲ""
  },
  ""answer"": 0
}",0,,0
ಆ ಪರೀಕ್ಷೆ ಯುಪಿಎಸ್ಸಿ ಯಂತೆ ಕಷ್ಟಕರ,ಆ ಪರೀಕ್ಷೆ ಹೆಚ್ಚು ಕಷ್ಟ,ಆ ಪರೀಕ್ಷೆ ಹೆಚ್ಚು ಕಷ್ಟವೇನಲ್ಲ,0,"{
  ""answer"": 1
}  

The metaphor compares the exam to the UPSC exam, which is known to be very difficult. Option 1 reflects this comparison by stating that the exam is indeed very difficult.",1,,0
ಆ ಪರೀಕ್ಷೆ  ಐಬಿಪಿಸ್ ನಂತೆ ಕಷ್ಟಕರ,ಆ ಪರೀಕ್ಷೆ ಹೆಚ್ಚು ಕಷ್ಟ,ಆ ಪರೀಕ್ಷೆ ಹೆಚ್ಚು ಕಷ್ಟವೇನಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the exam to IBPS exam which is known for its difficulty."",
  ""answer"": 0
}",0,,0
ಅದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು ಪದ್ಯದಷ್ಟು ಜಟಿಲವಾಗಿದೆ,ಅದನ್ನು ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳುವುದು ಕಷ್ಟ,ಅದನ್ನು ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳುವುದು ಸುಲಭ,1,"{
  ""answer"": 0
}

Explanation: This metaphor implies that understanding it is as difficult as deciphering poetry, which is known to be complex and intricate. Therefore, the closest meaning is that it is difficult to understand. Hence, option 0) ಅದನ್ನು ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳುವುದು ಕಷ್ಟ is the correct interpretation.",0,,0
ಅದು ಉಂಗುರದಂತೆ ಓವಲ್ ಆಕಾರ ಹೊಂದಿದೆ,ಅದು ಓವಲ್ ಆಕಾರ ಹೊಂದಿದೆ,ಅದು ಓವಲ್ ಆಕಾರ ಹೊಂದಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the object to a hen's egg, which is oval in shape."",
  ""answer"": 0
}",0,,0
ಅವರು ವಕೀಲರಂತೆ ಜನಪ್ರಿಯರು,ಅವರು ಜನಪ್ರಿಯರು,ಅವರು ಜನಪ್ರಿಯರಲ್ಲ,1,"{
  ""answer"": 0,
  ""explanation"": ""In this metaphor, the comparison is made between the person and a lawyer, indicating that the person is popular like a lawyer. Therefore, the closest meaning is that they are popular.""
}",0,,0
ಆ ಆಟವು ಹಾಕಿ ಯಷ್ಟು ಪ್ರಸಿದ್ದವಾಗಿದೆ,ಆ ಆಟ ಪ್ರಸಿದ್ಧ,ಆ ಆಟ ಪ್ರಸಿದ್ಧವಲ್ಲ,1,"{
  ""Explanation"": ""The metaphor implies that the game is popular just like throwing a hook. It is comparing the popularity of the game to the act of hooking something, suggesting a strong connection."",
  ""Answer"": 0
}",0,,0
ಆ ಸಂಭ್ರಮವು ಸೋಲಿನಂತೆ ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿರಲಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor compares the excitement to defeat, not just excitement in general."",
  ""answer"": 0
}",0,,0
