Prompt,Response
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 195: शीशे के जग के बहुत सारे टुकड़े हो गए।
Options:
0) शीशे के जग के दो टुकड़े हो गए।
1) शीशे का जग टूट के आधे चाँद सा बिखर गया।

Question 196: शहर की नयी इमारत बहुत विशाल थी। 
Options:
0) शहर की नयी इमारत बहुत छोटी थी। 
1) शहर की नयी इमारत एवरेस्ट की चोटी की तरह थी। 

Question 197: शहर की नयी इमारत बहुत विशाल थी। 
Options:
0) शहर की नयी इमारत बहुत छोटी थी।
1) शहर की नयी इमारत चिड़िया के घोंसले की तरह थी। 

Question 198: रोशन बहुत अच्छा इंसान था। 
Options:
0) रोशन बहुत गंदा इंसान था।
1) रोशन में देवताओं सी विशेषता थी। 

Question 199: रोशन बहुत अच्छा इंसान था।
Options:
0) रोशन बहुत गंदा इंसान था।
1) रोशन में दानव सी विशेषता थी।

Question 200: ऋषभ बहुत ज्यादा चलाक था।
Options:
0) ऋषभ बहुत ज्यादा भोला था।
1) ऋषभ लोमड़ी सा चलाक था। 

Question 201: ऋषभ बहुत ज्यादा चलाक था।
Options:
0) ऋषभ बहुत ज्यादा भोला था।
1) ऋषभ बकरी सा चलाक था।

Question 202: फिल्म में नकरात्मक सोच दिखाई गई है। 
Options:
0) फिल्म मेंसकरात्मक सोच दिखाई गई है।
1) उस फिल्म में शमशान सा हास्य है।

Question 203: फिल्म में नकरात्मक सोच दिखाई गई है।
Options:
0) फिल्म मेंसकरात्मक सोच दिखाई गई है।
1) उस फिल्म में चिड़ियाघर सा हास्य है।

Question 204: उसका निर्णय बदलना मुश्किल है। 
Options:
0) उसका निर्णय बदलना इतना मुश्किल नहीं है।
1) वह आदमी खच्चर जैसा जिद्दी है।

Question 205: उसका निर्णय बदलना मुश्किल है।
Options:
0) उसका निर्णय बदलना इतना मुश्किल नहीं है।
1) वह आदमी मोम जैसा जिद्दी है।

Question 206: उसके दोस्त कुछ शैतानी प्लान बना रहे थे।
Options:
0) उसके दोस्त बहुत गंभीर सोच में दुबे थे।
1) अपने दोस्तों को मूक चलचित्र की तरह खामोश देख वो समझ गया कुछ गड़बड़ है। 

Question 207: उसके दोस्त कुछ शैतानी प्लान बना रहे थे।
Options:
0) उसके दोस्त बहुत गंभीर सोच में दुबे थे। 
1) अपने दोस्तों को कब्र की तरह खामोश देख वो समझ गया कुछ गड़बड़ है। 

Question 208: यह शाल बहुत पतले धागे से बानी है। 
Options:
0) यह शाल बहुत मोटे धागे से बानी है। 
1) यह शाल बोरी की तरह हलकी है। 

Question 209: यह शाल बहुत पतले धागे से बानी है। 
Options:
0) यह शाल बहुत मोटे धागे से बानी है। 
1) यह शाल पंख की तरह हलकी है। 
","195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 210: उसकी दादी की प्रेम कहानियाँ बहुत पुरानी थी। 
Options:
0) उसकी दादी की प्रेम कहानियाँ बहुत पुरानी नहीं थी। 
1) उसकी दादी की प्रेम कहानी मोबाइल जितनी ही पुरानी थी।

Question 211: उसकी दादी की प्रेम कहानियाँ बहुत पुरानी थी। 
Options:
0) उसकी दादी की प्रेम कहानियाँ बहुत पुरानी नहीं थी।
1) उसकी दादी की प्रेम कहानी पहाड़ियों जितनी ही पुरानी थी।

Question 212: वह भरोसे के लायक है। 
Options:
0) वह भरोसे के लायक बिलकुल नहीं है। 
1) आप उस पर भरोसा कर सकते हैं, वह तीर की तरह सीधा है।

Question 213: वह भरोसे के लायक है।
Options:
0) वह भरोसे के लायक बिलकुल नहीं है।
1) आप उस पर भरोसा कर सकते हैं, वह पहिये की तरह सीधा है।

Question 214: वह बहुत कम खाना खाती है। 
Options:
0) वह बहुत ज्यादा खाना खाती है। 
1) वह चिड़िया की तरह खाती है। 

Question 215: वह बहुत कम खाना खाती है। 
Options:
0) वह बहुत ज्यादा खाना खाती है।
1) वह सुअर की तरह खाती है। 

Question 216: वह रेस में बहुत धीरे भागी। 
Options:
0) वह रेस में बहुत तेज भागी।
1) वह रेस में कछुए की तरह दौड़ी।

Question 217: वह रेस में बहुत धीरे भागी।
Options:
0) वह रेस में बहुत तेज भागी।
1) वह रेस में बिजली की तरह दौड़ी।  

Question 218: वह बहुत आत्मविश्वास में रहता है। 
Options:
0) वह बहुत डरा हुआ रहता है।
1) वह जंगल में शेर की तरह दिखता है।

Question 219: वह बहुत आत्मविश्वास में रहता है। 
Options:
0) वह बहुत डरा हुआ रहता है।
1) वह पानी से बाहर मछली की तरह दिखता है। 

Question 220: राधा बहुत थक गई थी।
Options:
0) राधा बहुत मस्ती में थी।
1) राधा एक चुलबुले बच्चे की तरह सो गई।

Question 221: राधा बहुत थक गई थी। 
Options:
0) राधा बहुत मस्ती में थी।
1) राधा एक लकड़ी के लट्ठे की तरह सो गई। 

Question 222: कालीन बहुत सख्त था। 
Options:
0) कालीन बहुत नर्म था।
1) यह कालीन मगरमछ की खाल की तरह कोमल था।

Question 223: कालीन बहुत सख्त था।
Options:
0) कालीन बहुत नर्म था।
1) यह कालीन खरगोश की खाल की तरह कोमल था। 

Question 224: स्विमिंग बहुत मुश्किल है। 
Options:
0) स्विमिंग बहुत आसान है। 
1) स्विमिंग जंगली पगडंडी की तरह सीखी जा सकती है। 
","210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 225: स्विमिंग बहुत मुश्किल है। 
Options:
0) स्विमिंग बहुत आसान है। 
1) स्विमिंग गाँव की पगडंडी की तरह सीखी जा सकती है।

Question 226: उसके मन में जो बुराई थी वो निकल गई। 
Options:
0) उसके मन में कोई बुराई नहीं थी। 
1) उसके मन का मैल मिटी की तरह छलनी से निकल गया।

Question 227: उसके मन में जो बुराई थी वो निकल गई।
Options:
0) उसके मन में कोई बुराई नहीं थी।
1) उसके मन का मैल चीनी की तरह छलनी से निकल गया। 

Question 228: यह बहुत सख्त है। 
Options:
0) यह बहुत कोमल है। 
1) यह चमड़े की तरह कटता है। 

Question 229: यह बहुत सख्त है।
Options:
0) यह बहुत कोमल है।
1) यह मक्खन की तरह कटता है। 

Question 230: हवाई जहाज बहुत ऊँचा उड़ गया। 
Options:
0) हवाई जहाज बहुत ऊँचा नहीं उड़ सका।
1) हवाई जहाज चिड़िया की तरह उड़ गया।

Question 231: हवाई जहाज बहुत ऊँचा उड़ गया।
Options:
0) हवाई जहाज बहुत ऊँचा नहीं उड़ सका।
1) हवाई जहाज चील की तरह उड़ गया। 

Question 232: शार्क के दांत तेज नहीं थे। 
Options:
0) शार्क के दांत तेज थे।
1) शार्क के दांत चमच जैसे थे।

Question 233: शार्क के दांत तेज नहीं थे।
Options:
0) शार्क के दांत तेज थे।
1) शार्क के दांत रेजर जैसे थे। 

Question 234: पुलिस इंस्पेक्टर रिश्वतखोर था। 
Options:
0) पुलिस इंस्पेक्टर रिश्वतखोर नहीं था। 
1) पुलिस इंस्पेक्टर भेड़िये की तरह शरीफ थी।

Question 235: पुलिस इंस्पेक्टर रिश्वतखोर था।
Options:
0) पुलिस इंस्पेक्टर रिश्वतखोर नहीं था।
1) पुलिस इंस्पेक्टर गाय की तरह शरीफ थी। 

Question 236: न्यूज़ रिपोर्टर बहुत ढीली थी। 
Options:
0) न्यूज़ रिपोर्टर बहुत तेज थी।
1) न्यूज़ रिपोर्टर के सवाल रिक्शा की तरह तेज थे।

Question 237: न्यूज़ रिपोर्टर बहुत ढीली थी।
Options:
0) न्यूज़ रिपोर्टर बहुत तेज थी।
1) न्यूज़ रिपोर्टर के सवाल चाबुक की तरह तेज थे। 

Question 238: बैंक मैनेजर ने बैंक बहुत अच्छे से संभाला हुआ है। 
Options:
0) बैंक मैनेजर को बैंक चलाना नहीं आता है।
1) बैंक मैनेजर साँप की तरह सोया हुआ है।

Question 239: बैंक मैनेजर ने बैंक बहुत अच्छे से संभाला हुआ है।
Options:
0) बैंक मैनेजर को बैंक चलाना नहीं आता है।
1) बैंक मैनेजर कुत्ते की तरह सोया हुआ है। 
","225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,1
238,0
239,0"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 240: राहुल का टीवी बहुत बड़ा था। 
Options:
0) राहुल का टीवी बहुत छोटा था।
1) राहुल का टीवी चुहिया जितना बड़ा था।

Question 241: राहुल का टीवी बहुत बड़ा था।
Options:
0) राहुल का टीवी बहुत छोटा था।
1) राहुल का टीवी हाथी जितना बड़ा था। 

Question 242: साहूकार बहुत कंजूस है। 
Options:
0) साहूकार बहुत खुले दिल का है। 
1) पैसा खरचने में साहूकार का दिल चींटी सा है। 

Question 243: साहूकार बहुत कंजूस है।
Options:
0) साहूकार बहुत खुले दिल का है।
1) पैसा खरचने में साहूकार का दिल पेड़ सा है। 

Question 244: अध्यापक बहार से सख्त मगर दिल के अच्छे हैं। 
Options:
0) अध्यापक बाहर से भी और दिल के भी बहुत अच्छे हैं। 
1) अध्यापक नारियल की तरह सख्त है।

Question 245: अध्यापक बहार से सख्त मगर दिल के अच्छे हैं।
Options:
0) अध्यापक बाहर से भी और दिल के भी बहुत अच्छे हैं।
1) अध्यापक आम की तरह सख्त है। 

Question 246: रहीम को अपनी पत्नी से कोई परेशानी नहीं है। 
Options:
0) रहीम को अपनी पत्नी से बहुत तंग है।
1) रहीम को उसकी पत्नी पुरानी चादर की तरह चुभती है।

Question 247: रहीम को अपनी पत्नी से कोई परेशानी नहीं है।
Options:
0) रहीम को अपनी पत्नी से बहुत तंग है।
1) रहीम को उसकी पत्नी अब पुराने बूट की तरह चुभती है। 

Question 248: राजू बहुत अच्छा नहीं है।
Options:
0) राजू बहुत अच्छा है।
1) राजू लोहे जैसा अच्छा है।

Question 249: राजू बहुत अच्छा नहीं है।
Options:
0) राजू बहुत अच्छा है।
1) राजू सोने जैसा अच्छा है। 

Question 250: उसकी सोच को बदला जा सकता है। 
Options:
0) उसकी सोच को बदला नहीं जा सकता है।
1) उसकी सोच जवान लड़के की तरह है। 

Question 251: उसकी सोच को बदला जा सकता है।
Options:
0) उसकी सोच को बदला नहीं जा सकता है।
1) उसकी सोच बूढी औरत की तरह है। 

Question 252: कार बहुत ज्यादा अच्छे से साफ़ है। 
Options:
0) कार बहुत अच्छे से साफ़ नहीं है।
1) कार नल के पानी की तरह साफ है।

Question 253: कार बहुत ज्यादा अच्छे से साफ़ है।
Options:
0) कार बहुत अच्छे से साफ़ नहीं है।
1) कार झरने के पानी की तरह साफ है। 

Question 254: पेंट करना बहुत अच्छा लगता है। 
Options:
0) पेंट करना बहुत उबाऊ लगता है।
1) पेंट करना किसी रोमांटिक फिल्म देखने के समान है।
","240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,0
251,1
252,1
253,0
254,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 255: पेंट करना बहुत अच्छा लगता है।
Options:
0) पेंट करना बहुत उबाऊ लगता है।
1) पेंट करना किसी आर्ट फिल्म देखने के समान है। 

Question 256: शर्मा जी को ज्यादा काम नहीं है। 
Options:
0) शर्मा जी बहुत ज्यादा काम है।
1) लगता है शर्मा जी संग्रहालय के दरबान की तरह व्यस्त हैं। 

Question 257: शर्मा जी को ज्यादा काम नहीं है।
Options:
0) शर्मा जी बहुत ज्यादा काम है।
1) लगता है शर्मा जी पप्रधान मंत्री की तरह व्यस्त हैं। 

Question 258: शंकर कार बहुत तेज चला रहा है। 
Options:
0) शंकर कार बहुत धीरे चला रहा है।
1) शंकर कार राजधानी की तरह चला रहा है।

Question 259: शंकर कार बहुत तेज चला रहा है।
Options:
0) शंकर कार बहुत धीरे चला रहा है।
1) शंकर कार माल गाड़ी की तरह चला रहा है। 

Question 260: सविता इस फिल्म में बहुत आकर्षक लग रही हैं। 
Options:
0) सविता इस फिल्म में बिलकुल भी आकर्षक नहीं लग रही हैं।
1) सविता इस फिल्म में आग के गोले की तरह लग रही है।

Question 261: सविता इस फिल्म में बहुत आकर्षक लग रही हैं।
Options:
0) सविता इस फिल्म में बिलकुल भी आकर्षक नहीं लग रही हैं।
1) सविता इस फिल्म में बर्फ के गोले की तरह लग रही है। 

Question 262: शीला स्कूल में बहुत बोलती है। 
Options:
0) शीला स्कूल में बहुत कम बोलती है।
1) शीला स्कूल में मुँह में हरी मिर्च खा के आती हैं।

Question 263: शीला स्कूल में बहुत बोलती है।
Options:
0) शीला स्कूल में बहुत कम बोलती है।
1) शीला स्कूल में मुँह में दही जमा के आती हैं। 

Question 264: शामलाल अफसर से बहुत डरते हैं। 
Options:
0) शामलाल अफसर को खुश करने में लगे रहते हैं।
1) शामलाल अफसर को देख चूहे की तरह बिल में छुप जाते हैं। 

Question 265: शामलाल अफसर से बहुत डरते हैं।
Options:
0) शामलाल अफसर को खुश करने में लगे रहते हैं।
1) शामलाल अफसर को देख मधुमखी की तरह भिनभिनाते हैं। 

Question 266: राधा डिबेट में बहुत अच्छे से बोली। 
Options:
0) राधा डिबेट में कुछ भी ना बोल सकी।
1) राधा डिबेट में बिल्ली की तरह हो गयी।

Question 267: राधा डिबेट में बहुत अच्छे से बोली।
Options:
0) राधा डिबेट में कुछ भी ना बोल सकी।
1) राधा डिबेट में खम्बे की तरह हो गयी। 

Question 268: पढाई बहुत आसान है। 
Options:
0) पढाई बहुत मुश्किल है। 
1) पढाई करना केक खाने जैसा है।

Question 269: पढाई बहुत आसान है।
Options:
0) पढाई बहुत मुश्किल है।
1) पढाई करना पहाड़ चढ़ने जैसा है। 
","255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 270: बॉक्स बहुत भारी है। 
Options:
0) बॉक्स बहुत हल्का है। 
1) बॉक्स बड़े पेड़ जैसा हल्का है।

Question 271: बॉक्स बहुत भारी है।
Options:
0) बॉक्स बहुत हल्का है।
1) बॉक्स सुखी पत्ती जैसा हल्का है। 

Question 272: उसकी बोली बहुत साफ़ और मधुर है। 
Options:
0) उसकी बोली बहुत गंदी और बेसुरी है।
1) उसकी बोली मोती जैसी है।

Question 273: उसकी बोली बहुत साफ़ और मधुर है।
Options:
0) उसकी बोली बहुत गंदी और बेसुरी है।
1) उसकी बोली सांप जैसी है। 

Question 274: साइकल चलाना बहुत मुश्किल है। 
Options:
0) साइकल चलाना बहुत आसान है।
1) साइकल चलना हाथी से लड़ने जितना आसान है।

Question 275: साइकल चलाना बहुत मुश्किल है।
Options:
0) साइकल चलाना बहुत आसान है।
1) साइकल चलना एबीसी जितना आसान है। 

Question 276: वह अपना कमरा बहुत साफ़ रखता है। 
Options:
0) वह अपना कमरा बहुत गंदा रखता है।
1) वह अपना कमरा चिड़िया की तरह साफ़ रखता है।

Question 277: वह अपना कमरा बहुत साफ़ रखता है।
Options:
0) वह अपना कमरा बहुत गंदा रखता है।
1) वह अपना कमरा सूअर की तरह साफ़ रखता है। 

Question 278: इम्तेहान का नतीजा देख वो बहुत खुश हुआ। 
Options:
0) इम्तेहान का नतीजा देख वो बहुत दुखी हुआ।
1) इम्तेहान का नतीजा देख वो हिमेश की तरह गायक हो गया।

Question 279: इम्तेहान का नतीजा देख वो बहुत खुश हुआ।
Options:
0) इम्तेहान का नतीजा देख वो बहुत दुखी हुआ।
1) इम्तेहान का नतीजा देख वो कब्र की तरह खामोश हो गया। 

Question 280: फर्श बिलकुल साफ नहीं था। 
Options:
0) फर्श बिलकुल साफ था।
1) फर्श भालू की खाल की तरह था।

Question 281: फर्श बिलकुल साफ नहीं था।
Options:
0) फर्श बिलकुल साफ था।
1) फर्श मछली की खाल की तरह था।  

Question 282: व्यंजन बिलकुल अच्छा नहीं था। 
Options:
0) व्यंजन बहुत अच्छा था।
1) बैंगन जैसा स्वादिष्ट व्यंजन था। 

Question 283: व्यंजन बिलकुल अच्छा नहीं था।
Options:
0) व्यंजन बहुत अच्छा था।
1) गुड़ जितना स्वादिष्ट व्यंजन था। 

Question 284: कपड़ा मुलायम नहीं था। 
Options:
0) कपड़ा बहुत मुलायम था।
1) कपड़ा बूढ़े के हाथों सा मुलायम था।
","270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 285: कपड़ा मुलायम नहीं था।
Options:
0) कपड़ा बहुत मुलायम था।
1) कपड़ा बच्चे के हाथों सा मुलायम था। 

Question 286: स्कूल का माहौल बिलकुल भी शांत नहीं था। 
Options:
0) स्कूल का माहौल बिलकुल शांत था।
1) स्कूल का माहौल जंगल सा शांत था। 

Question 287: स्कूल का माहौल बिलकुल भी शांत नहीं था।
Options:
0) स्कूल का माहौल बिलकुल शांत था।
1) स्कूल का माहौल बगीचे सा शांत था। 

Question 288: हम कमज़ोर जमीन पर खड़े हैं।  
Options:
0) हम मजबूत जमीन पर खड़े हैं।
1) हम मिटटी के घड़े जितनी मजबूत जमीन पर खड़े हैं।

Question 289: हम कमज़ोर जमीन पर खड़े हैं।
Options:
0) हम मजबूत जमीन पर खड़े हैं।
1) हम हीरे जितनी मजबूत जमीन पर खड़े हैं। 

Question 290: जूस बहुत अच्छा है। 
Options:
0) जूस बहुत अच्छा नहीं है।
1) जूस आम की तरह खट्टा है।

Question 291: जूस बहुत अच्छा है।
Options:
0) जूस बहुत अच्छा नहीं है।
1) जूस सिरके की तरह खट्टा है। 

Question 292: टीचर की बैंत ज्यादा सख्त नहीं है।
Options:
0) टीचर की बैंत ज्यादा सख्त है।
1) टीचर की बैंत गद्दे की तरह सख्त है।

Question 293: टीचर की बैंत ज्यादा सख्त नहीं है।
Options:
0) टीचर की बैंत ज्यादा सख्त है।
1) टीचर की बैंत बोर्ड की तरह सख्त है। 

Question 294: वह दूर की सोचता है।  
Options:
0) वह दूर की नहीं सोचता है।
1) उसका निशाना बंदूक की तरह दूर तक जाता है।

Question 295: वह दूर की सोचता है।  
Options:
0) वह दूर की नहीं सोचता है।
1) उसका निशाना गुलेल की तरह दूर तक जाता है। 

Question 296: हवा तेज थी। 
Options:
0) हवा धीरे थी।
1) हवा मेंढक की तरह कोमल थी।

Question 297: हवा तेज थी।
Options:
0) हवा धीरे थी।
1) हवा तितली की तरह कोमल थी।

Question 298: वह गुस्से में आ गई। 
Options:
0) वह बहुत खुश हुई।
1) वह शेर की तरह नाचने लगी।

Question 299: वह गुस्से में आ गई।
Options:
0) वह बहुत खुश हुई।
1) वह मोर की तरह नाचने लगी।
","285,1
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 300: उसकी दागदारी में इल्जाम लग गया। 
Options:
0) उसकी शराफत में इल्जाम लग गया।
1) उसकी रंगीन चादर में दाग लग गया।

Question 301: उसकी दागदारी में इल्जाम लग गया।
Options:
0) उसकी शराफत में इल्जाम लग गया।
1) उसकी सफ़ेद चादर में दाग लग गया। 

Question 302: आपके हाथ ठन्डे नहीं है। 
Options:
0) आपके हाथ बहुत ठन्डे हैं।
1) आपके हाथ राजस्थान की तरह ठंडे हैं।

Question 303: आपके हाथ ठन्डे नहीं है।
Options:
0) आपके हाथ बहुत ठन्डे हैं।
1) आपके हाथ आर्कटिक की तरह ठंडे हैं।

Question 304: आपका दिम्माग बहुत कमजोर है। 
Options:
0) आपका दिम्माग बहुत तेज है।
1) उनका दिमाग एक ग्रामीण बैंक की तरह है।

Question 305: आपका दिम्माग बहुत कमजोर है।
Options:
0) आपका दिम्माग बहुत तेज है।
1) उनका दिमाग एक विश्व बैंककी तरह है।

Question 306: आशा जी की गायकी को लोग बहुत पसंद करते हैं। 
Options:
0) आशा जी की गायकी को लोग बहुत पसंद करते हैं।
1) आशा जी की गायकी करोड़ों रुपये के बराबर है।

Question 307: आशा जी की गायकी को लोग बहुत पसंद करते हैं।
Options:
0) आशा जी की गायकी को लोग बहुत पसंद नहीं करते हैं।
1) आशा जी की गायकी एक पैसे के बराबर है।

Question 308: उसकी नजरें बहुत तेज नहीं हैं। 
Options:
0) उसकी नजरें बहुत तेज हैं।
1) उसकी नज़रें चिड़िया की तरह तेज हैं।

Question 309: उसकी नजरें बहुत तेज नहीं हैं।
Options:
0) उसकी नजरें बहुत तेज हैं।
1) उसकी नज़रें चील की तरह तेज हैं।

Question 310: वह खुश नहीं थी। 
Options:
0) वह खुश थी।
1) यह सुबह की धुप की तरह नम थी।

Question 311: वह खुश नहीं थी।
Options:
0) वह खुश थी।
1) यह सुबह की ओस की तरह नम थी।

Question 312: वह अपनों से बिछड़ा मगर डरा हुआ नही था। 
Options:
0) वह अपनों से बिछड़ा कर डरा हुआ था।
1) वह चीते की तरह खोया हुआ था।

Question 313: वह अपनों से बिछड़ा मगर डरा हुआ नही था।
Options:
0) वह अपनों से बिछड़ा कर डरा हुआ था।
1) वह भेड़ की तरह खोया हुआ था।

Question 314: उसने अपना घर बनाने के लिए दूसरों को लुटा है। 
Options:
0) उसने बड़ी मेहनत से अपना घर बनाया है। 
1) उसने अपना घर बनाने के लिए एक चोरों की तरह मेहनत की है।
","300,1
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 315: उसने अपना घर बनाने के लिए दूसरों को लुटा है।
Options:
0) उसने बड़ी मेहनत से अपना घर बनाया है।
1) उसने अपना घर बनाने के लिए एक चींटी की तरह मेहनत की है।

Question 316: राशी अपनी सहेली के साथ बहुत प्यार से रहती थी। 
Options:
0) राशी अपनी सहेली के साथ बहुत कड़वाहट से रहती थी।
1) राशी अपनी सहेली के साथ गुलाब की तरह पेश आती थी।

Question 317: राशी अपनी सहेली के साथ बहुत प्यार से रहती थी।
Options:
0) राशी अपनी सहेली के साथ बहुत कड़वाहट से रहती थी।
1) राशी अपनी सहेली के साथ कैक्टस की तरह पेश आती थी।

Question 318: लॉलीपॉप के लिए रोहन ने छपटने का फैसला किया।
Options:
0) लॉलीपॉप के लिए रोहन ने प्यार से मांगने का फैसला किया।
1) लॉलीपॉप देख रोहन ने शेर की तरह अपनी पूँछ हिलायी।

Question 319: लॉलीपॉप के लिए रोहन ने छपटने का फैसला किया। 
Options:
0) लॉलीपॉप के लिए रोहन ने प्यार से मांगने का फैसला किया।
1) लॉलीपॉप देख रोहन ने पिल्ले की तरह अपनी पूँछ हिलायी। 

Question 320: बच्चों का मैदान ख़राब था मगर वो कुछ नहीं कर सकते थे। 
Options:
0) बच्चों का मैदान बढ़िया हो गया था इसलिए वो खुश थे।
1) बच्चे खेल के मैदान में ताजी मिट्टी पाकर चूहे की तरह खुश थे।

Question 321: बच्चों का मैदान ख़राब था मगर वो कुछ नहीं कर सकते थे।
Options:
0) बच्चों का मैदान बढ़िया हो गया था इसलिए वो खुश थे।
1) बच्चे खेल के मैदान में ताजी मिट्टी पाकर सूअर की तरह खुश थे।

Question 322: चोर बहुत स्मार्ट लग रहा था।
Options:
0) चोर बहुत बेवक़ूफ़ लग रहा था।
1) चोर अपनी ड्रेस में फैंटम लग रहा था।

Question 323: चोर बहुत स्मार्ट लग रहा था। 
Options:
0) चोर बहुत बेवक़ूफ़ लग रहा था।
1) चोर अपनी ड्रेस में जोकर लग रहा था। 

Question 324: वह बहुत चुलबुली लग रही थी। 
Options:
0) वह बहुत मस्त लग रही थी।
1) वह सांभर की तरह लग रही थी।

Question 325: वह बहुत चुलबुली लग रही थी।
Options:
0) वह बहुत मस्त लग रही थी।
1) वह रसमलाई की तरह लग रही थी। 

Question 326: वो बहुत गोरी लग रही थी। 
Options:
0) वो बहुत काली लग रही थी। 
1) वो चाँद की तरह लग रही थी।

Question 327: वो बहुत गोरी लग रही थी।
Options:
0) वो बहुत काली लग रही थी।
1) वो तवे की तरह लग रही थी।

Question 328: उसके दांत साफ़ नहीं थे। 
Options:
0) उसके दांत साफ़ थे।
1) उसके दांत सोने जैसे सफेद थे।

Question 329: उसके दांत साफ़ नहीं थे।
Options:
0) उसके दांत साफ़ थे।
1) उसके दांत मोतियों जैसे सफेद थे।
","315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 330: वह आत्मविश्वास से आगे बढ़ी। 
Options:
0) वह सेहमी से आगे बढ़ी।
1) वह शेर की चाल से आगे बढ़ी।

Question 331: वह आत्मविश्वास से आगे बढ़ी।
Options:
0) वह सेहमी से आगे बढ़ी।
1) वह मोरनी की चाल से आगे बढ़ी। 

Question 332: वह मुश्किलों से बहुत देर तक लड़ी। 
Options:
0) वह मुश्किलों से बहुत जल्दी हार गई। 
1) वह आंधी में पेड़ से विशाल टहनी की तरह टूट गई।

Question 333: वह मुश्किलों से बहुत देर तक लड़ी। 
Options:
0) वह मुश्किलों से बहुत जल्दी हार गई। 
1) वह आंधी में पेड़ से पत्तों की तरह टूट गई। 

Question 334: राकेश बहुत चलाक है। 
Options:
0) राकेश बहुत शरीफ है। 
1) राकेश गिद्ध की तरह मासूम है।

Question 335: राकेश बहुत चलाक है। 
Options:
0) राकेश बहुत शरीफ है। 
1) राकेश मेमने की तरह मासूम है। 

Question 336: माँ का दिल बहुत नरम होता है। 
Options:
0) माँ का दिल बहुत कठोर होता है। 
1) माँ का दिल उँगलियों की तरह सख्त है।

Question 337: माँ का दिल बहुत नरम होता है। 
Options:
0) माँ का दिल बहुत कठोर होता है। 
1) माँ का दिल नाखूनों की तरह सख्त है। 

Question 338: उसकी दूकान बहुत बढ़िया से सजाई गई थी। 
Options:
0) उसकी दूकान बहुत गंदे से सजाई गई थी।
1) उसकी दूकान नए लोहे की तरह चमक रही थी। 

Question 339: उसकी दूकान बहुत बढ़िया से सजाई गई थी।
Options:
0) उसकी दूकान बहुत गंदे से सजाई गई थी।
1) उसकी दूकान नए सोने की तरह चमक रही थी। 

Question 340: किशोर की आवाज में मजा नहीं है। 
Options:
0) किशोर की आवाज में मिठास है। 
1) किशोर कीसंतरे सी मीठी आवाज है।

Question 341: किशोर की आवाज में मजा नहीं है। 
Options:
0) किशोर की आवाज में मिठास है।
1) किशोर की शक्कर सी मीठी आवाज है। 

Question 342: बहुत सूंदर लग रहे हो। 
Options:
0) बहुत बदसूरत लग रहे हो। 
1) तालाब की तरह लग रहे हो।

Question 343: बहुत सूंदर लग रहे हो। 
Options:
0) बहुत बदसूरत लग रहे हो। 
1) कीचड़ की तरह लग रहे हो। 

Question 344: उसकी गर्दन बहुत छोटी है। 
Options:
0) उसकी गर्दन बहुत लम्बी है। 
1) उसकी गर्दन कबूतर सी लम्बी है। 
","330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0"
