ending1,ending2,startphrase,labels,instruction_column
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,ceuk ema jadi jalmi teh kedah sing goreng bagug.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ceuk ema jadi jalmi teh kedah sing goreng bagug., Options: 0) ceuk ema jadi jalmi teh kedah ramah 1) ceuk ema jadi jalmi teh kedah judes."
si eta mah ngomong wae,si eta mah cicing wae.,si eta mah ateul biwir,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si eta mah ateul biwir, Options: 0) si eta mah ngomong wae 1) si eta mah cicing wae."
si eta mah ngomong wae,si eta mah cicing wae.,si eta mah kawas gaang katincak.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si eta mah kawas gaang katincak., Options: 0) si eta mah ngomong wae 1) si eta mah cicing wae."
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,lamun mikir kudu pondok lengkah,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: lamun mikir kudu pondok lengkah, Options: 0) lamun mikir kudu teu mikir panjang 1) lamun mikir kudu mikir jauh."
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,lamun mikir kudu panjang lengkah.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: lamun mikir kudu panjang lengkah., Options: 0) lamun mikir kudu teu mikir panjang 1) lamun mikir kudu mikir jauh."
budak eta mah babarian ceurik,budak eta mah wanian.,budak eta mah epes meer,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: budak eta mah epes meer, Options: 0) budak eta mah babarian ceurik 1) budak eta mah wanian."
budak eta mah babarian ceurik,budak eta mah wanian.,budak eta mah wanteran.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: budak eta mah wanteran., Options: 0) budak eta mah babarian ceurik 1) budak eta mah wanian."
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,jelema lamun geus kandel kulit bengeut,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jelema lamun geus kandel kulit bengeut, Options: 0) jelema lamun geus teu gaduh kaera 1) jelema lamun geus eraan kudu diantepkeun."
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,jelema lamun geus isinan kudu diantepkeun.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jelema lamun geus isinan kudu diantepkeun., Options: 0) jelema lamun geus teu gaduh kaera 1) jelema lamun geus eraan kudu diantepkeun."
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,si Udin jadi jalma teh meni buntut kasiran,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si Udin jadi jalma teh meni buntut kasiran, Options: 0) si Udin jadi jalma teh meni koret, pedit 1) si Udin jadi jalma teh meni reseup babagi."
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,si Udin jadi jalma teh meni berehan.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si Udin jadi jalma teh meni berehan., Options: 0) si Udin jadi jalma teh meni koret, pedit 1) si Udin jadi jalma teh meni reseup babagi."
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,Iis mah amis daging,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Iis mah amis daging, Options: 0) Iis mah gampang kana panyakit 1) Iis mah teu gampang kana panyakit."
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,Iis mah pahang tulang.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Iis mah pahang tulang., Options: 0) Iis mah gampang kana panyakit 1) Iis mah teu gampang kana panyakit."
sasa teh biasana ramah,sasa teh biasana judes.,sasa teh biasana sok jadi amis budi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: sasa teh biasana sok jadi amis budi, Options: 0) sasa teh biasana ramah 1) sasa teh biasana judes."
sasa teh biasana ramah,sasa teh biasana judes.,sasa teh biasana sok jadi haseum budi.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: sasa teh biasana sok jadi haseum budi., Options: 0) sasa teh biasana ramah 1) sasa teh biasana judes."
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,lamun bade nginjem duit kudu make duit panas,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: lamun bade nginjem duit kudu make duit panas, Options: 0) lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi 1) lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake."
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,lamun bade nginjem duit kudu make duit tiis.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: lamun bade nginjem duit kudu make duit tiis., Options: 0) lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi 1) lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake."
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,jalma ayeuna teh sok gurat cai,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jalma ayeuna teh sok gurat cai, Options: 0) jalma ayeuna teh sok babari ngarobah omongan atawa janji 1) jalma ayeuna teh sok pageuh kana omongan atawa janji."
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,jalma ayeuna teh sok gurat batu.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jalma ayeuna teh sok gurat batu., Options: 0) jalma ayeuna teh sok babari ngarobah omongan atawa janji 1) jalma ayeuna teh sok pageuh kana omongan atawa janji."
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,lamun bisnis mah pasti jadi kandel dompet,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: lamun bisnis mah pasti jadi kandel dompet, Options: 0) lamun bisnis mah pasti jadi loba duit 1) lamun bisnis mah pasti jadi kacida teu boga duit."
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,lamun bisnis mah pasti jadi kokoro nyoso.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: lamun bisnis mah pasti jadi kokoro nyoso., Options: 0) lamun bisnis mah pasti jadi loba duit 1) lamun bisnis mah pasti jadi kacida teu boga duit."
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,nanaon ge teu menang kaleleuwihan bisi tamplok bacoteun,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: nanaon ge teu menang kaleleuwihan bisi tamplok bacoteun, Options: 0) nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean 1) nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan."
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,nanaon ge teu menang kaleleuwihan bisi tamplok batokeun.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: nanaon ge teu menang kaleleuwihan bisi tamplok batokeun., Options: 0) nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean 1) nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan."
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,jadi jelema teh kadang bisa jadi yuni kembang,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jadi jelema teh kadang bisa jadi yuni kembang, Options: 0) jadi jelema teh kadang bisa jadi pikareseupeun 1) jadi jelema teh kadang bisa jadi pikasebeleun."
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,jadi jelema teh kadang bisa jadi yuni tai.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jadi jelema teh kadang bisa jadi yuni tai., Options: 0) jadi jelema teh kadang bisa jadi pikareseupeun 1) jadi jelema teh kadang bisa jadi pikasebeleun."
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.","jelema teh kabagi jadi dua, nyaeta anu wening galih",0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jelema teh kabagi jadi dua, nyaeta anu wening galih, Options: 0) jelema teh kabagi jadi dua, nyaeta anu bersih hate 1) jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki."
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.","jelema teh kabagi jadi dua, nyaeta anu sulit ati.",1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jelema teh kabagi jadi dua, nyaeta anu sulit ati., Options: 0) jelema teh kabagi jadi dua, nyaeta anu bersih hate 1) jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki."
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,kudu hati hati milih pasangan bisi jadi potol jarum,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: kudu hati hati milih pasangan bisi jadi potol jarum, Options: 0) kudu hati hati milih pasangan bisi jadi awewe anu beak hartana 1) kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana."
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,kudu hati hati milih pasangan bisi jadi potol teko.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: kudu hati hati milih pasangan bisi jadi potol teko., Options: 0) kudu hati hati milih pasangan bisi jadi awewe anu beak hartana 1) kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana."
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,si Bina mah anak emas,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si Bina mah anak emas, Options: 0) si Bina mah anak anu dipikanyaah 1) si Bina mah anak tere."
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,si Bina mah anak sampeuran.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si Bina mah anak sampeuran., Options: 0) si Bina mah anak anu dipikanyaah 1) si Bina mah anak tere."
budak teh kudu alus didikana,budak teh kudu kurang didikan.,budak teh kudu asak warah,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: budak teh kudu asak warah, Options: 0) budak teh kudu alus didikana 1) budak teh kudu kurang didikan."
budak teh kudu alus didikana,budak teh kudu kurang didikan.,budak teh kudu atah adol.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: budak teh kudu atah adol., Options: 0) budak teh kudu alus didikana 1) budak teh kudu kurang didikan."
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,tong jadi budak anu bodo katotoloyo,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: tong jadi budak anu bodo katotoloyo, Options: 0) tong jadi budak anu bodo tapi tara daek nanya 1) tong jadi budak anu bodo tapi daek tatanya."
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,tong jadi budak anu bodo alewoh.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: tong jadi budak anu bodo alewoh., Options: 0) tong jadi budak anu bodo tapi tara daek nanya 1) tong jadi budak anu bodo tapi daek tatanya."
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,ari jadi salaki teh kudu banting tulang,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ari jadi salaki teh kudu banting tulang, Options: 0) ari jadi salaki teh kudu digawe popohoan 1) ari jadi salaki teh kudu teu bisa digawe."
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,ari jadi salaki teh kudu badag cagap.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ari jadi salaki teh kudu badag cagap., Options: 0) ari jadi salaki teh kudu digawe popohoan 1) ari jadi salaki teh kudu teu bisa digawe."
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,si Dewi mah jadi gadis teh meni handap asor,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si Dewi mah jadi gadis teh meni handap asor, Options: 0) si Dewi mah jadi gadis teh meni teu sombong 1) si Dewi mah jadi gadis teh meni sombong."
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,si Dewi mah jadi gadis teh meni gede hulu.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si Dewi mah jadi gadis teh meni gede hulu., Options: 0) si Dewi mah jadi gadis teh meni teu sombong 1) si Dewi mah jadi gadis teh meni sombong."
ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,ceunah lamun jadi awewe teh kudu siga putri raja,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ceunah lamun jadi awewe teh kudu siga putri raja, Options: 0) ceunah lamun jadi awewe teh kudu anggun 1) ceunah lamun jadi awewe teh kudu buruk rupa."
ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,ceunah lamun jadi awewe teh kudu siga mak lampir.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ceunah lamun jadi awewe teh kudu siga mak lampir., Options: 0) ceunah lamun jadi awewe teh kudu anggun 1) ceunah lamun jadi awewe teh kudu buruk rupa."
poe ieu teh cuaca siga panas pisan,poe ieu teh cuaca siga hujan angin.,poe ieu teh cuaca siga bisa ngagoreng lauk dinu aspal,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: poe ieu teh cuaca siga bisa ngagoreng lauk dinu aspal, Options: 0) poe ieu teh cuaca siga panas pisan 1) poe ieu teh cuaca siga hujan angin."
poe ieu teh cuaca siga panas pisan,poe ieu teh cuaca siga hujan angin.,poe ieu teh cuaca siga hujan angin dordar gelap.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: poe ieu teh cuaca siga hujan angin dordar gelap., Options: 0) poe ieu teh cuaca siga panas pisan 1) poe ieu teh cuaca siga hujan angin."
hujan teh meuni badag jeung gandeng,hujan teh meuni sepi jeung geunaheun.,hujan teh meuni siga ngajak geulut,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: hujan teh meuni siga ngajak geulut, Options: 0) hujan teh meuni badag jeung gandeng 1) hujan teh meuni sepi jeung geunaheun."
hujan teh meuni badag jeung gandeng,hujan teh meuni sepi jeung geunaheun.,hujan teh meuni siga tiis ceuli.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: hujan teh meuni siga tiis ceuli., Options: 0) hujan teh meuni badag jeung gandeng 1) hujan teh meuni sepi jeung geunaheun."
"si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.","si eta mah kuatannya, teu siga lempeuh yuni",0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si eta mah kuatannya, teu siga lempeuh yuni, Options: 0) si eta mah kuatannya, teu gampang geuring 1) si eta mah kuatannya, teu sehat."
"si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.","si eta mah kuatannya, teu siga jagjag waringkas.",1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si eta mah kuatannya, teu siga jagjag waringkas., Options: 0) si eta mah kuatannya, teu gampang geuring 1) si eta mah kuatannya, teu sehat."
ai budak keneh mah antep kudu jadi budak nu reseup kaluar,ai budak keneh mah antep kudu jadi tong dikurung.,ai budak keneh mah antep kudu jadi kembang buruan,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ai budak keneh mah antep kudu jadi kembang buruan, Options: 0) ai budak keneh mah antep kudu jadi budak nu reseup kaluar 1) ai budak keneh mah antep kudu jadi tong dikurung."
ai budak keneh mah antep kudu jadi budak nu reseup kaluar,ai budak keneh mah antep kudu jadi tong dikurung.,ai budak keneh mah antep kudu jadi kurung batok.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ai budak keneh mah antep kudu jadi kurung batok., Options: 0) ai budak keneh mah antep kudu jadi budak nu reseup kaluar 1) ai budak keneh mah antep kudu jadi tong dikurung."
Kadang hirup teh bisa jadi katingali senang,Kadang hirup teh bisa jadi teu bahagia.,Kadang hirup teh bisa jadi kembang seungit,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kadang hirup teh bisa jadi kembang seungit, Options: 0) Kadang hirup teh bisa jadi katingali senang 1) Kadang hirup teh bisa jadi teu bahagia."
Kadang hirup teh bisa jadi katingali senang,Kadang hirup teh bisa jadi teu bahagia.,Kadang hirup teh bisa jadi bau bangke.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kadang hirup teh bisa jadi bau bangke., Options: 0) Kadang hirup teh bisa jadi katingali senang 1) Kadang hirup teh bisa jadi teu bahagia."
Ulah agul kana harta saetik nu dipikaboga ayeuna,Ulah agul kana harta loba nu dipikaboga ayeuna.,Ulah agul kana payung butut,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ulah agul kana payung butut, Options: 0) Ulah agul kana harta saetik nu dipikaboga ayeuna 1) Ulah agul kana harta loba nu dipikaboga ayeuna."
