startphrase,ending1,ending2,labels,instruction_column
ಅವನು ಯುವಕನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ.,ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ,ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅವನು ಯುವಕನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ., Options: 0) ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ 1) ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ"
ಅವನು ವೃದ್ಧನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ.,ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ,ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅವನು ವೃದ್ಧನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ., Options: 0) ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ 1) ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ"
ಅದು ರಕ್ತದಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ.,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅದು ರಕ್ತದಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ., Options: 0) ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ 1) ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ"
ಅದು ನೀರಿನಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ.,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅದು ನೀರಿನಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ., Options: 0) ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ 1) ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ"
ಅದರ ವೇಗ ಆಮೆಯಷ್ಟು ನಿಧಾನವಾಗಿದೆ.,ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ,ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅದರ ವೇಗ ಆಮೆಯಷ್ಟು ನಿಧಾನವಾಗಿದೆ., Options: 0) ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ 1) ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ"
ಅದರ ವೇಗ ಮೊಲದಷ್ಟು ನಿಧಾನವಾಗಿದೆ.,ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ,ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅದರ ವೇಗ ಮೊಲದಷ್ಟು ನಿಧಾನವಾಗಿದೆ., Options: 0) ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ 1) ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ"
ಆ ವಸ್ತು ಟೆಲಿಫೋನ್ನಷ್ಟು ಹಳೆಯದು.,ಆ ವಸ್ತು ಹಳೆಯದು,ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ವಸ್ತು ಟೆಲಿಫೋನ್ನಷ್ಟು ಹಳೆಯದು., Options: 0) ಆ ವಸ್ತು ಹಳೆಯದು 1) ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ"
ಆ ವಸ್ತು ಮೊಬೈಲ್ನಷ್ಟು ಹಳೆಯದು.,ಆ ವಸ್ತು ಹಳೆಯದು,ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ವಸ್ತು ಮೊಬೈಲ್ನಷ್ಟು ಹಳೆಯದು., Options: 0) ಆ ವಸ್ತು ಹಳೆಯದು 1) ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ"
ಆಹಾರವು ರಾಗಿಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ.,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆಹಾರವು ರಾಗಿಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ., Options: 0) ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ 1) ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ"
ಆಹಾರವು ಮ್ಯಾಗಿ ಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ.,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆಹಾರವು ಮ್ಯಾಗಿ ಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ., Options: 0) ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ 1) ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ"
ಆ ಪ್ರದೇಶ ಆಟದ ಮೈದಾನದಂತೆ ವಿಶಾಲವಾಗಿದೆ.,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ಪ್ರದೇಶ ಆಟದ ಮೈದಾನದಂತೆ ವಿಶಾಲವಾಗಿದೆ., Options: 0) ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ 1) ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿಲ್ಲ"
ಆ ಪ್ರದೇಶ ಕ್ಲಾಸ್ ರೂಮ್ನಂತೆ ವಿಶಾಲವಾಗಿದೆ.,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ,ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ಪ್ರದೇಶ ಕ್ಲಾಸ್ ರೂಮ್ನಂತೆ ವಿಶಾಲವಾಗಿದೆ., Options: 0) ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿದೆ 1) ಆ ಪ್ರದೇಶ ತುಂಬಾ ವಿಶಾಲವಾಗಿಲ್ಲ"
ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚಾಂಪಿಯನ್ ರಂತೆ ಇತ್ತು.,ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿತ್ತು,ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚಾಂಪಿಯನ್ ರಂತೆ ಇತ್ತು., Options: 0) ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿತ್ತು 1) ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ"
ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಸೋತವರಂತೆ ಇತ್ತು.,ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿತ್ತು,ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಸೋತವರಂತೆ ಇತ್ತು., Options: 0) ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿತ್ತು 1) ಆಟಗಾರರ ಪ್ರದರ್ಶನ ಚೆನ್ನಾಗಿರಲಿಲ್ಲ"
ಅದು ಫುಟ್ಬಾಲ್ ನಷ್ಟು ಗಾತ್ರ ಹೊಂದಿದೆ.,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅದು ಫುಟ್ಬಾಲ್ ನಷ್ಟು ಗಾತ್ರ ಹೊಂದಿದೆ., Options: 0) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು 1) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು"
ಅದು ಗಾಲ್ಫ್ ಬಾಲ್ ನಷ್ಟು ಗಾತ್ರ ಹೊಂದಿದೆ.,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅದು ಗಾಲ್ಫ್ ಬಾಲ್ ನಷ್ಟು ಗಾತ್ರ ಹೊಂದಿದೆ., Options: 0) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು 1) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು"
ಅವನು ರಾಜನಷ್ಟು ಪ್ರಭಾವಶಾಲಿ.,ಅವನು ಪ್ರಭಾವಶಾಲಿ,ಅವನು ಪ್ರಭಾವಶಾಲಿ ಅಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅವನು ರಾಜನಷ್ಟು ಪ್ರಭಾವಶಾಲಿ., Options: 0) ಅವನು ಪ್ರಭಾವಶಾಲಿ 1) ಅವನು ಪ್ರಭಾವಶಾಲಿ ಅಲ್ಲ"
ಅವನು ಸೇವಕನಷ್ಟು ಪ್ರಭಾವಶಾಲಿ.,ಅವನು ಪ್ರಭಾವಶಾಲಿ,ಅವನು ಪ್ರಭಾವಶಾಲಿ ಅಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅವನು ಸೇವಕನಷ್ಟು ಪ್ರಭಾವಶಾಲಿ., Options: 0) ಅವನು ಪ್ರಭಾವಶಾಲಿ 1) ಅವನು ಪ್ರಭಾವಶಾಲಿ ಅಲ್ಲ"
ಅವನು ವ್ಯಾಪಾರಿಯ ಹಾಗೆ ಶ್ರೀಮಂತ.,ಅವನು ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅವನು ವ್ಯಾಪಾರಿಯ ಹಾಗೆ ಶ್ರೀಮಂತ., Options: 0) ಅವನು ಶ್ರೀಮಂತ 1) ಅವನು ಶ್ರೀಮಂತನಲ್ಲ"
ಅವನು ರೈತನ ಹಾಗೆ ಶ್ರೀಮಂತ.,ಅವನು ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಅವನು ರೈತನ ಹಾಗೆ ಶ್ರೀಮಂತ., Options: 0) ಅವನು ಶ್ರೀಮಂತ 1) ಅವನು ಶ್ರೀಮಂತನಲ್ಲ"
ಆ ವಸ್ತು ಹುಳು ಥರ ಸಣ್ಣದಿದೆ,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ವಸ್ತು ಹುಳು ಥರ ಸಣ್ಣದಿದೆ, Options: 0) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು 1) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು"
ಆ ವಸ್ತು ಪಕ್ಷಿ ಥರ ಸಣ್ಣದಿದೆ,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು,ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ವಸ್ತು ಪಕ್ಷಿ ಥರ ಸಣ್ಣದಿದೆ, Options: 0) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ಸಣ್ಣದು 1) ಆ ವಸ್ತುವಿನ ಗಾತ್ರ ದೊಡ್ಡದು"
ಆ ಹವ್ಯಾಸ ಧೂಮಪಾನದಂತೆ ಕೆಟ್ಟದ್ದು.,ಆ ಹವ್ಯಾಸ ಕೆಟ್ಟದ್ದು,ಆ ಹವ್ಯಾಸ ಒಳ್ಳೆಯದು,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ಹವ್ಯಾಸ ಧೂಮಪಾನದಂತೆ ಕೆಟ್ಟದ್ದು., Options: 0) ಆ ಹವ್ಯಾಸ ಕೆಟ್ಟದ್ದು 1) ಆ ಹವ್ಯಾಸ ಒಳ್ಳೆಯದು"
ಆ ಹವ್ಯಾಸ ಧ್ಯಾನದಂತೆ ಕೆಟ್ಟದ್ದು.,ಆ ಹವ್ಯಾಸ ಕೆಟ್ಟದ್ದು,ಆ ಹವ್ಯಾಸ ಒಳ್ಳೆಯದು,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ಹವ್ಯಾಸ ಧ್ಯಾನದಂತೆ ಕೆಟ್ಟದ್ದು., Options: 0) ಆ ಹವ್ಯಾಸ ಕೆಟ್ಟದ್ದು 1) ಆ ಹವ್ಯಾಸ ಒಳ್ಳೆಯದು"
ಆ ಪ್ರಾಣಿ ಡೈನೋಸರ್ ನಷ್ಟು ಹಳೆಯದು.,ಆ ಪ್ರಾಣಿ ಹಳೆಯದು,ಆ ಪ್ರಾಣಿ ಹಳೆಯದೇನಲ್ಲ,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ಪ್ರಾಣಿ ಡೈನೋಸರ್ ನಷ್ಟು ಹಳೆಯದು., Options: 0) ಆ ಪ್ರಾಣಿ ಹಳೆಯದು 1) ಆ ಪ್ರಾಣಿ ಹಳೆಯದೇನಲ್ಲ"
ಆ ಪ್ರಾಣಿ ಆನೆಯಷ್ಟು ಹಳೆಯದು.,ಆ ಪ್ರಾಣಿ ಹಳೆಯದು,ಆ ಪ್ರಾಣಿ ಹಳೆಯದೇನಲ್ಲ,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ಆ ಪ್ರಾಣಿ ಆನೆಯಷ್ಟು ಹಳೆಯದು., Options: 0) ಆ ಪ್ರಾಣಿ ಹಳೆಯದು 1) ಆ ಪ್ರಾಣಿ ಹಳೆಯದೇನಲ್ಲ"
