ending1,ending2,startphrase,labels,instruction_column
Lampu kamarku padang,Lampu kamarku peteng,Padange lampu kamarku kaya sokle,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Padange lampu kamarku kaya sokle, Options: 0) Lampu kamarku padang 1) Lampu kamarku peteng"
Lampu kamarku padang,Lampu kamarku peteng,Padange lampu kamarku kaya ublik,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Padange lampu kamarku kaya ublik, Options: 0) Lampu kamarku padang 1) Lampu kamarku peteng"
Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,Mas Edi lak mlayu jan kaya kancil,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mas Edi lak mlayu jan kaya kancil, Options: 0) Mas Edi lak mlayu cepet 1) Mas Edi lak mlayu rindik"
Mas Edi lak mlayu cepet,Mas Edi lak mlayu rindik,Mas Edi lak mlayu jan kaya semut,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mas Edi lak mlayu jan kaya semut, Options: 0) Mas Edi lak mlayu cepet 1) Mas Edi lak mlayu rindik"
Untine Dik Sri tata,Untine Dik Sri gedi-gedi ting mbedesal,Untune Dik Sri mbiji timun,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Untune Dik Sri mbiji timun, Options: 0) Untine Dik Sri tata 1) Untine Dik Sri gedi-gedi ting mbedesal"
Untine Dik Sri tata,Untine Dik Sri gedi-gedi ting mbedesal,Untune Dik Sri ngungkal gerang,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Untune Dik Sri ngungkal gerang, Options: 0) Untine Dik Sri tata 1) Untine Dik Sri gedi-gedi ting mbedesal"
Bocah cilik kuwi ora isa meneng,Bocah cilik kuwi tura-turu ae,Polahe bocah cilik kuwi kaya kitiran,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Polahe bocah cilik kuwi kaya kitiran, Options: 0) Bocah cilik kuwi ora isa meneng 1) Bocah cilik kuwi tura-turu ae"
Bocah cilik kuwi ora isa meneng,Bocah cilik kuwi tura-turu ae,Polahe bocah cilik kuwi kaya kebo,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Polahe bocah cilik kuwi kaya kebo, Options: 0) Bocah cilik kuwi ora isa meneng 1) Bocah cilik kuwi tura-turu ae"
Pasuryane Mas Tono ganteng,Pasuryane Mas Tono elek,Pasuryane Mas Tono kaya Arjuna,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pasuryane Mas Tono kaya Arjuna, Options: 0) Pasuryane Mas Tono ganteng 1) Pasuryane Mas Tono elek"
Pasuryane Mas Tono ganteng,Pasuryane Mas Tono elek,Pasuryane Mas Tono kaya Rahwana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pasuryane Mas Tono kaya Rahwana, Options: 0) Pasuryane Mas Tono ganteng 1) Pasuryane Mas Tono elek"
Pipine Rida alus,Pipine Rida kasar kakehan kukul,Pipine Rida aluse kaya dalan aspalan,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pipine Rida aluse kaya dalan aspalan, Options: 0) Pipine Rida alus 1) Pipine Rida kasar kakehan kukul"
Pipine Rida alus,Pipine Rida kasar kakehan kukul,Pipine Rida aluse kaya dalan makadhaman,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pipine Rida aluse kaya dalan makadhaman, Options: 0) Pipine Rida alus 1) Pipine Rida kasar kakehan kukul"
Hawane awan iki panas,Hawane awan iki adhem,Hawane awan iki kaya dolan menyang gurun,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hawane awan iki kaya dolan menyang gurun, Options: 0) Hawane awan iki panas 1) Hawane awan iki adhem"
Hawane awan iki panas,Hawane awan iki adhem,Hawane awan iki kaya dolan menyang kutub,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hawane awan iki kaya dolan menyang kutub, Options: 0) Hawane awan iki panas 1) Hawane awan iki adhem"
Kartolo kuwi wani,Kartolo kuwi weden,Nyawang dedege Kartolo kok kaya kendel ngringkel,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nyawang dedege Kartolo kok kaya kendel ngringkel, Options: 0) Kartolo kuwi wani 1) Kartolo kuwi weden"
Kartolo kuwi wani,Kartolo kuwi weden,Nyawang dedege Kartolo kok kaya dhadang ora godak,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nyawang dedege Kartolo kok kaya dhadang ora godak, Options: 0) Kartolo kuwi wani 1) Kartolo kuwi weden"
Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan tangis,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan tangis, Options: 0) Kahanan omahe Pak Sardi kang lagi susah 1) Kahanan omahe Pak Sardi kang lagi seneng"
Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan dhuwit,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan dhuwit, Options: 0) Kahanan omahe Pak Sardi kang lagi susah 1) Kahanan omahe Pak Sardi kang lagi seneng"
Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,Nek gawe wedang kopi Painem kaya disoki juruh,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nek gawe wedang kopi Painem kaya disoki juruh, Options: 0) Nek gawe wedang kopi Painem legi 1) Nek gawe wedang kopi Painem pahit"
Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,Nek gawe wedang kopi Painem kaya disoki suruh,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nek gawe wedang kopi Painem kaya disoki suruh, Options: 0) Nek gawe wedang kopi Painem legi 1) Nek gawe wedang kopi Painem pahit"
Baguse Paijo katulung irunge sing mancung,Baguse Paijo katulung irunge sing pesek,Baguse Paijo katulung saka irunge sing kaya irunge petruk,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Baguse Paijo katulung saka irunge sing kaya irunge petruk, Options: 0) Baguse Paijo katulung irunge sing mancung 1) Baguse Paijo katulung irunge sing pesek"
Baguse Paijo katulung irunge sing mancung,Baguse Paijo katulung irunge sing pesek,Baguse Paijo katulung saka irunge sing kaya irunge semar,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Baguse Paijo katulung saka irunge sing kaya irunge semar, Options: 0) Baguse Paijo katulung irunge sing mancung 1) Baguse Paijo katulung irunge sing pesek"
Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit,Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman,Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya cina craki,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya cina craki, Options: 0) Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit 1) Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman"
Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit,Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman,Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya blaba uda,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya blaba uda, Options: 0) Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit 1) Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman"
Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,Anggone nyambut gawe Allia kaya banteng ketaton,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Anggone nyambut gawe Allia kaya banteng ketaton, Options: 0) Anggone nyambut gawe Allia Cepet banget 1) Anggone nyambut gawe Allia alon banget"
Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,Anggone nyambut gawe Allia kaya macan luwe,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Anggone nyambut gawe Allia kaya macan luwe, Options: 0) Anggone nyambut gawe Allia Cepet banget 1) Anggone nyambut gawe Allia alon banget"
Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur,Nalika sesrawungan Pak Jemani lan Paiman akur banget,Nalika sesrawungan Pak Jemani lan Paiman kaya banyu karo lenga,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nalika sesrawungan Pak Jemani lan Paiman kaya banyu karo lenga, Options: 0) Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur 1) Nalika sesrawungan Pak Jemani lan Paiman akur banget"
Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur,Nalika sesrawungan Pak Jemani lan Paiman akur banget,Nalika sesrawungan Pak Jemani lan Paiman kaya mimi lan mituna,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nalika sesrawungan Pak Jemani lan Paiman kaya mimi lan mituna, Options: 0) Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur 1) Nalika sesrawungan Pak Jemani lan Paiman akur banget"
Tulisane Sarti jumejer ana papan tulis apik banget,Tulisane Sarti jumejer ana papan tulis elek banget,Tulisane Sarti jumejer ana papan tulis kaya awangun ketumbar,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tulisane Sarti jumejer ana papan tulis kaya awangun ketumbar, Options: 0) Tulisane Sarti jumejer ana papan tulis apik banget 1) Tulisane Sarti jumejer ana papan tulis elek banget"
Tulisane Sarti jumejer ana papan tulis apik banget,Tulisane Sarti jumejer ana papan tulis elek banget,Tulisane Sarti jumejer ana papan tulis kaya cekere pitik,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tulisane Sarti jumejer ana papan tulis kaya cekere pitik, Options: 0) Tulisane Sarti jumejer ana papan tulis apik banget 1) Tulisane Sarti jumejer ana papan tulis elek banget"
Rambute Selfi wiwit cilik pancen lurus,Rambute Selfi wiwit cilik pancen kriting,Rambute Selfi wiwit cilik pancen kaya brintik linggis,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rambute Selfi wiwit cilik pancen kaya brintik linggis, Options: 0) Rambute Selfi wiwit cilik pancen lurus 1) Rambute Selfi wiwit cilik pancen kriting"
Rambute Selfi wiwit cilik pancen lurus,Rambute Selfi wiwit cilik pancen kriting,Rambute Selfi wiwit cilik pancen kaya kembang jagung,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rambute Selfi wiwit cilik pancen kaya kembang jagung, Options: 0) Rambute Selfi wiwit cilik pancen lurus 1) Rambute Selfi wiwit cilik pancen kriting"
Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit bawang,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit bawang, Options: 0) Kain batik sing dituku menyang pasar klewer tipis banget 1) Kain batik sing dituku menyang pasar klewer kandel banget"
Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit babat,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit babat, Options: 0) Kain batik sing dituku menyang pasar klewer tipis banget 1) Kain batik sing dituku menyang pasar klewer kandel banget"
Isih esuk khanane mbak Marmi Katon mrengut,Isih esuk khanane mbak Marmi Katon sumeh,Isih esuk kahanane Mbak Marmi kaya Ulat peteng,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Isih esuk kahanane Mbak Marmi kaya Ulat peteng, Options: 0) Isih esuk khanane mbak Marmi Katon mrengut 1) Isih esuk khanane mbak Marmi Katon sumeh"
Isih esuk khanane mbak Marmi Katon mrengut,Isih esuk khanane mbak Marmi Katon sumeh,Isih esuk kahanane Mbak Marmi kaya ulat manis,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Isih esuk kahanane Mbak Marmi kaya ulat manis, Options: 0) Isih esuk khanane mbak Marmi Katon mrengut 1) Isih esuk khanane mbak Marmi Katon sumeh"
