ending1,ending2,labels,startphrase,instruction_column
Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,0,Pekerjaan ayah semudah membalikkan telapak tangan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pekerjaan ayah semudah membalikkan telapak tangan., Options: 0) Pekerjaan ayah sangat mudah. 1) Pekerjaan ayah sangat sulit."
Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,1,Pekerjaan ayah semudah memasukkan benang ke dalam jarum.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pekerjaan ayah semudah memasukkan benang ke dalam jarum., Options: 0) Pekerjaan ayah sangat mudah. 1) Pekerjaan ayah sangat sulit."
Tasnya besar.,Tasnya kecil.,0,Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah., Options: 0) Tasnya besar. 1) Tasnya kecil."
Tasnya besar.,Tasnya kecil.,1,Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal., Options: 0) Tasnya besar. 1) Tasnya kecil."
Dia sangat lapar.,Dia sangat kenyang.,0,Dia melahap makanan seolah belum makan tiga hari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia melahap makanan seolah belum makan tiga hari., Options: 0) Dia sangat lapar. 1) Dia sangat kenyang."
Dia sangat lapar.,Dia sangat kenyang.,1,Dia melahap makanan seolah habis menghadiri tiga kondangan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia melahap makanan seolah habis menghadiri tiga kondangan., Options: 0) Dia sangat lapar. 1) Dia sangat kenyang."
Dia berjalan dengan lambat.,Dia berjalan dengan cepat.,0,Ia berjalan layaknya siput.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ia berjalan layaknya siput., Options: 0) Dia berjalan dengan lambat. 1) Dia berjalan dengan cepat."
Dia berjalan dengan lambat.,Dia berjalan dengan cepat.,1,Ia berjalan layaknya macan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ia berjalan layaknya macan., Options: 0) Dia berjalan dengan lambat. 1) Dia berjalan dengan cepat."
Kehadirannya adalah musibah.,Kehadirannya adalah anugerah.,0,Kehadirannya bagaikan petir di siang bolong.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kehadirannya bagaikan petir di siang bolong., Options: 0) Kehadirannya adalah musibah. 1) Kehadirannya adalah anugerah."
Kehadirannya adalah musibah.,Kehadirannya adalah anugerah.,1,Kehadirannya bagaikan bintang di langit malam.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kehadirannya bagaikan bintang di langit malam., Options: 0) Kehadirannya adalah musibah. 1) Kehadirannya adalah anugerah."
Hidupnya bebas.,Hidupnya terkekang.,0,Dia menjalani hidup bak burung di angkasa.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menjalani hidup bak burung di angkasa., Options: 0) Hidupnya bebas. 1) Hidupnya terkekang."
Hidupnya bebas.,Hidupnya terkekang.,1,Dia menjalani hidup bak singa di kebun binatang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menjalani hidup bak singa di kebun binatang., Options: 0) Hidupnya bebas. 1) Hidupnya terkekang."
Siswa-siswi kelas A berpartisipasi dengan aktif.,Siswa-siswi kelas A berpartisipasi dengan pasif.,0,Situasi kelas A seramai KRL di jam kerja.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Situasi kelas A seramai KRL di jam kerja., Options: 0) Siswa-siswi kelas A berpartisipasi dengan aktif. 1) Siswa-siswi kelas A berpartisipasi dengan pasif."
Siswa-siswi kelas A berpartisipasi dengan aktif.,Siswa-siswi kelas A berpartisipasi dengan pasif.,1,Situasi kelas A seramai kuburan di malam hari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Situasi kelas A seramai kuburan di malam hari., Options: 0) Siswa-siswi kelas A berpartisipasi dengan aktif. 1) Siswa-siswi kelas A berpartisipasi dengan pasif."
Adik ingin memiliki rambut pendek.,Adik ingin memiliki rambut panjang.,0,Adik menginginkan rambut seperti dora.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Adik menginginkan rambut seperti dora., Options: 0) Adik ingin memiliki rambut pendek. 1) Adik ingin memiliki rambut panjang."
Adik ingin memiliki rambut pendek.,Adik ingin memiliki rambut panjang.,1,Adik menginginkan rambut seperti rapunzel.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Adik menginginkan rambut seperti rapunzel., Options: 0) Adik ingin memiliki rambut pendek. 1) Adik ingin memiliki rambut panjang."
Ceritanya panjang.,Ceritanya pendek.,0,Curhatannya sepanjang skripsi mahasiswa kedokteran.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Curhatannya sepanjang skripsi mahasiswa kedokteran., Options: 0) Ceritanya panjang. 1) Ceritanya pendek."
Ceritanya panjang.,Ceritanya pendek.,1,Curhatannya sepanjang iklan badut di jalanan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Curhatannya sepanjang iklan badut di jalanan., Options: 0) Ceritanya panjang. 1) Ceritanya pendek."
Tulisannya berantakan.,Tulisannya rapi.,0,Tulisan tangannya bak tulisan dokter.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tulisan tangannya bak tulisan dokter., Options: 0) Tulisannya berantakan. 1) Tulisannya rapi."
Tulisannya berantakan.,Tulisannya rapi.,1,Tulisan tangannya bak ketikan komputer canggih.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tulisan tangannya bak ketikan komputer canggih., Options: 0) Tulisannya berantakan. 1) Tulisannya rapi."
Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,0,Memintanya membereskan kamar sama seperti menyuruh kucing terbang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Memintanya membereskan kamar sama seperti menyuruh kucing terbang., Options: 0) Perintah itu mustahil dilakukan. 1) Perintah itu selalu dilakukan."
Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,1,Memintanya membereskan kamar sama seperti berbincang dengan google assistant.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Memintanya membereskan kamar sama seperti berbincang dengan google assistant., Options: 0) Perintah itu mustahil dilakukan. 1) Perintah itu selalu dilakukan."
Dia bekerja dengan cekatan.,Dia bekerja dengan lambat.,0,Dia menyelesaikan pekerjaannya secepat memasak mi instan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menyelesaikan pekerjaannya secepat memasak mi instan., Options: 0) Dia bekerja dengan cekatan. 1) Dia bekerja dengan lambat."
Dia bekerja dengan cekatan.,Dia bekerja dengan lambat.,1,Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang., Options: 0) Dia bekerja dengan cekatan. 1) Dia bekerja dengan lambat."
Suasana kelas sangat menegangkan.,Suasana kelas sangat bersahabat.,0,Kelas bersama Pak Faisal seperti sedang berada di kandang singa.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kelas bersama Pak Faisal seperti sedang berada di kandang singa., Options: 0) Suasana kelas sangat menegangkan. 1) Suasana kelas sangat bersahabat."
Suasana kelas sangat menegangkan.,Suasana kelas sangat bersahabat.,1,Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga., Options: 0) Suasana kelas sangat menegangkan. 1) Suasana kelas sangat bersahabat."
Orang asing bisa menjadi teman.,Orang asing bisa menjadi musuh.,0,Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang., Options: 0) Orang asing bisa menjadi teman. 1) Orang asing bisa menjadi musuh."
Orang asing bisa menjadi teman.,Orang asing bisa menjadi musuh.,1,Orang asing yang kau temui sewaktu-waktu bisa menjadi jurang di ujung jalan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Orang asing yang kau temui sewaktu-waktu bisa menjadi jurang di ujung jalan., Options: 0) Orang asing bisa menjadi teman. 1) Orang asing bisa menjadi musuh."
Mereka berbicara dengan suara kencang.,Mereka berbicara dengan suara pelan.,0,"Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan., Options: 0) Mereka berbicara dengan suara kencang. 1) Mereka berbicara dengan suara pelan."
Mereka berbicara dengan suara kencang.,Mereka berbicara dengan suara pelan.,1,"Saat kelas berlangsung, mereka berbincang bak berbisik pada dedaunan.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat kelas berlangsung, mereka berbincang bak berbisik pada dedaunan., Options: 0) Mereka berbicara dengan suara kencang. 1) Mereka berbicara dengan suara pelan."
Perempuan itu suka bersosialisasi.,Perempuan itu suka menyendiri.,0,Perempuan itu sangat suka berkumpul dengan bintang-bintang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perempuan itu sangat suka berkumpul dengan bintang-bintang., Options: 0) Perempuan itu suka bersosialisasi. 1) Perempuan itu suka menyendiri."
Perempuan itu suka bersosialisasi.,Perempuan itu suka menyendiri.,1,Perempuan itu sangat suka memeluk keheningan malam.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perempuan itu sangat suka memeluk keheningan malam., Options: 0) Perempuan itu suka bersosialisasi. 1) Perempuan itu suka menyendiri."
Dia peduli.,Dia tidak peduli.,0,"Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya., Options: 0) Dia peduli. 1) Dia tidak peduli."
Dia peduli.,Dia tidak peduli.,1,"Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota., Options: 0) Dia peduli. 1) Dia tidak peduli."
Ayahnya sangat ramah.,Ayahnya sangat kaku.,0,Ayahku bersikap seolah bisa menyapa seluruh dunia.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ayahku bersikap seolah bisa menyapa seluruh dunia., Options: 0) Ayahnya sangat ramah. 1) Ayahnya sangat kaku."
Ayahnya sangat ramah.,Ayahnya sangat kaku.,1,Ayahku bersikap seolah dia adalah robot yang sudah usang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ayahku bersikap seolah dia adalah robot yang sudah usang., Options: 0) Ayahnya sangat ramah. 1) Ayahnya sangat kaku."
Dia sangat sedih.,Dia sangat senang.,0,Dia tampak seperti mahasiswa yang gagal ujian.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia tampak seperti mahasiswa yang gagal ujian., Options: 0) Dia sangat sedih. 1) Dia sangat senang."
Dia sangat sedih.,Dia sangat senang.,1,Dia tampak seperti habis memenangkan lotre.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia tampak seperti habis memenangkan lotre., Options: 0) Dia sangat sedih. 1) Dia sangat senang."
"Menurutnya, merantau itu mendebarkan.","Menurutnya, merantau itu menyesakkan.",0,"Menurutnya, merantau adalah petualangan mencari jati diri.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menurutnya, merantau adalah petualangan mencari jati diri., Options: 0) Menurutnya, merantau itu mendebarkan. 1) Menurutnya, merantau itu menyesakkan."
"Menurutnya, merantau itu mendebarkan.","Menurutnya, merantau itu menyesakkan.",1,"Menurutnya, merantau adalah perang yang tak berujung.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Menurutnya, merantau adalah perang yang tak berujung., Options: 0) Menurutnya, merantau itu mendebarkan. 1) Menurutnya, merantau itu menyesakkan."
Rara tampak rapi.,Rara tampak lusuh.,0,Rara berpakaian seolah akan mengikuti pemotretan di sebuah majalah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rara berpakaian seolah akan mengikuti pemotretan di sebuah majalah., Options: 0) Rara tampak rapi. 1) Rara tampak lusuh."
Rara tampak rapi.,Rara tampak lusuh.,1,Rara berpakaian seolah akan mengambil paket di depan rumah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rara berpakaian seolah akan mengambil paket di depan rumah., Options: 0) Rara tampak rapi. 1) Rara tampak lusuh."
Dia bicara dengan lemah lembut.,Dia bicara dengan kasar.,0,Cara bicaranya bak putri Solo.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cara bicaranya bak putri Solo., Options: 0) Dia bicara dengan lemah lembut. 1) Dia bicara dengan kasar."
Dia bicara dengan lemah lembut.,Dia bicara dengan kasar.,1,Cara bicaranya bak preman di pasar.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cara bicaranya bak preman di pasar., Options: 0) Dia bicara dengan lemah lembut. 1) Dia bicara dengan kasar."
Mahasiswa itu menjawab dengan gelagapan.,Mahasiswa itu menjawab dengan tenang.,0,"Saat ditanya, mahasiswa itu menjawab seperti orang yang ketahuan mencuri.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat ditanya, mahasiswa itu menjawab seperti orang yang ketahuan mencuri., Options: 0) Mahasiswa itu menjawab dengan gelagapan. 1) Mahasiswa itu menjawab dengan tenang."
Mahasiswa itu menjawab dengan gelagapan.,Mahasiswa itu menjawab dengan tenang.,1,"Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya., Options: 0) Mahasiswa itu menjawab dengan gelagapan. 1) Mahasiswa itu menjawab dengan tenang."
Kamar kosnya berantakan.,Kamar kosnya rapi.,0,Kamar kosnya bagaikan rumah yang habis dimasuki pencuri.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kamar kosnya bagaikan rumah yang habis dimasuki pencuri., Options: 0) Kamar kosnya berantakan. 1) Kamar kosnya rapi."
Kamar kosnya berantakan.,Kamar kosnya rapi.,1,Kamar kosnya bagaikan rumah dengan selusin ART.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kamar kosnya bagaikan rumah dengan selusin ART., Options: 0) Kamar kosnya berantakan. 1) Kamar kosnya rapi."
Rumahnya luas.,Rumahnya sempit.,0,Rumahnya seluas GBK.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rumahnya seluas GBK., Options: 0) Rumahnya luas. 1) Rumahnya sempit."
Rumahnya luas.,Rumahnya sempit.,1,Rumahnya seluas jalan tikus.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Rumahnya seluas jalan tikus., Options: 0) Rumahnya luas. 1) Rumahnya sempit."
Dia bisa dipercaya.,Dia tidak bisa dipercaya.,0,"Bagi dia, rahasia adalah pusaka keluarga.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagi dia, rahasia adalah pusaka keluarga., Options: 0) Dia bisa dipercaya. 1) Dia tidak bisa dipercaya."
Dia bisa dipercaya.,Dia tidak bisa dipercaya.,1,"Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja., Options: 0) Dia bisa dipercaya. 1) Dia tidak bisa dipercaya."
Sikapnya hangat.,Sikapnya dingin.,0,Dia adalah sinar matahari yang menyelimuti bumi.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia adalah sinar matahari yang menyelimuti bumi., Options: 0) Sikapnya hangat. 1) Sikapnya dingin."
Sikapnya hangat.,Sikapnya dingin.,1,Dia adalah hujan di tengah malam.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia adalah hujan di tengah malam., Options: 0) Sikapnya hangat. 1) Sikapnya dingin."
Kereta itu lowong.,Kereta itu padat.,0,Kereta sore itu bagaikan bisa dipakai bermain sepak bola.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kereta sore itu bagaikan bisa dipakai bermain sepak bola., Options: 0) Kereta itu lowong. 1) Kereta itu padat."
Kereta itu lowong.,Kereta itu padat.,1,Kereta sore itu bagaikan lautan yang dipenuhi ikan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kereta sore itu bagaikan lautan yang dipenuhi ikan., Options: 0) Kereta itu lowong. 1) Kereta itu padat."
Tanggung jawabnya berat.,Tanggung jawabnya ringan.,0,Tanggung jawab Dian seringan menggendong satu keluarga besar.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tanggung jawab Dian seringan menggendong satu keluarga besar., Options: 0) Tanggung jawabnya berat. 1) Tanggung jawabnya ringan."
