startphrase,ending1,ending2,labels,instruction_column
Kutakua na ndoa kama siafu siku za usoni,Ndoa zitakua hadimu siku si nyingi,Ndoa hazitakua hadimu siku za hapa karibuni,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kutakua na ndoa kama siafu siku za usoni, Options: 0) Ndoa zitakua hadimu siku si nyingi 1) Ndoa hazitakua hadimu siku za hapa karibuni"
Mapenzi ni vita,Mapenzi ni kitu kigumu,Mapenzi ni kitu kirahisi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mapenzi ni vita, Options: 0) Mapenzi ni kitu kigumu 1) Mapenzi ni kitu kirahisi"
Mapenzi ni keki,Mapenzi ni kitu kigumu,Mapenzi ni kitu kirahisi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mapenzi ni keki, Options: 0) Mapenzi ni kitu kigumu 1) Mapenzi ni kitu kirahisi"
Bahati ya mwenzio usiilalie mlango wazi,Bahati ikimkuta mwenzio usisubiri ikufikie na wewe,Bahari ikimkuta mwenzio subiri ikufikie na wewe,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bahati ya mwenzio usiilalie mlango wazi, Options: 0) Bahati ikimkuta mwenzio usisubiri ikufikie na wewe 1) Bahari ikimkuta mwenzio subiri ikufikie na wewe"
Bahati ya mwenzio ilalie mlango wazi,Bahati ikimkuta mwenzio usisubiri ikufikie na wewe,Bahari ikimkuta mwenzio subiri ikufikie na wewe,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bahati ya mwenzio ilalie mlango wazi, Options: 0) Bahati ikimkuta mwenzio usisubiri ikufikie na wewe 1) Bahari ikimkuta mwenzio subiri ikufikie na wewe"
Kijana huyu ana roho ya dhahabu,Kijana huyu ana roho nzuri sana,Kijana huyu ana roho mbaya sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kijana huyu ana roho ya dhahabu, Options: 0) Kijana huyu ana roho nzuri sana 1) Kijana huyu ana roho mbaya sana"
Kijana huyo ana roho ya kutu,Kijana huyu ana roho nzuri sana,Kijana huyu ana roho mbaya sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kijana huyo ana roho ya kutu, Options: 0) Kijana huyu ana roho nzuri sana 1) Kijana huyu ana roho mbaya sana"
Maisha yake ni kama dira,Maisha yake yana muelekeo,Maisha yake hayana muelekeo,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maisha yake ni kama dira, Options: 0) Maisha yake yana muelekeo 1) Maisha yake hayana muelekeo"
Maisha yake ni kama kuku akiyekatwa kichwa,Maisha yake yana muelekeo,Maisha yake hayana muelekeo,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maisha yake ni kama kuku akiyekatwa kichwa, Options: 0) Maisha yake yana muelekeo 1) Maisha yake hayana muelekeo"
Mwendo wake ni mithili ya twiga,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mwendo wake ni mithili ya twiga, Options: 0) Mwendo wake ni wa maringo 1) Mwendo wake si wa maringo"
Mwendo wake ni wa bata,Mwendo wake ni wa maringo,Mwendo wake si wa maringo,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mwendo wake ni wa bata, Options: 0) Mwendo wake ni wa maringo 1) Mwendo wake si wa maringo"
Wema ni hazina,Ukitendea watu mema yatakurudia,Ukitendea watu mema hayatakurudia,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wema ni hazina, Options: 0) Ukitendea watu mema yatakurudia 1) Ukitendea watu mema hayatakurudia"
Wema sio kitenesi,Ukitendea watu mema yatakurudia,Ukitendea watu mema hayatakurudia,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wema sio kitenesi, Options: 0) Ukitendea watu mema yatakurudia 1) Ukitendea watu mema hayatakurudia"
Macho yake yalikua kama mto wkati wa masika.,Alitokwa na machozi mengi ya uchungu,Hakutokwa na machozi mengi ya uchungu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Macho yake yalikua kama mto wkati wa masika., Options: 0) Alitokwa na machozi mengi ya uchungu 1) Hakutokwa na machozi mengi ya uchungu"
Macho yake yalikua kama mto wkati wa kiangazi.,Alitokwa na machozi mengi ya uchungu,Hakutokwa na machozi mengi ya uchungu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Macho yake yalikua kama mto wkati wa kiangazi., Options: 0) Alitokwa na machozi mengi ya uchungu 1) Hakutokwa na machozi mengi ya uchungu"
Alihisi ngoma kifuani kwake,Mapigo yake ya moyo yalienda kwa kasi mno,Mapingo yake ya moyo yalienda taratibu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alihisi ngoma kifuani kwake, Options: 0) Mapigo yake ya moyo yalienda kwa kasi mno 1) Mapingo yake ya moyo yalienda taratibu"
Alihisi kifua chake kimeganda kama barafu,Mapigo yake ya moyo yalienda kwa kasi mno,Mapingo yake ya moyo yalienda taratibu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alihisi kifua chake kimeganda kama barafu, Options: 0) Mapigo yake ya moyo yalienda kwa kasi mno 1) Mapingo yake ya moyo yalienda taratibu"
Alipora mkoba wangu na kutimua vumbi,Alipora mkoba wangu na kukimbia,Alipora mkoba wangu na kuanza kutembea taratibu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alipora mkoba wangu na kutimua vumbi, Options: 0) Alipora mkoba wangu na kukimbia 1) Alipora mkoba wangu na kuanza kutembea taratibu"
Alipora mkoba wangu na kutembea kama konokono,Alipora mkoba wangu na kukimbia,Alipora mkoba wangu na kuanza kutembea taratibu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alipora mkoba wangu na kutembea kama konokono, Options: 0) Alipora mkoba wangu na kukimbia 1) Alipora mkoba wangu na kuanza kutembea taratibu"
Walibishana hadi wakashikana mashati,Walibishana hadi wakapigana,Walibishana lakini hawakupigana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Walibishana hadi wakashikana mashati, Options: 0) Walibishana hadi wakapigana 1) Walibishana lakini hawakupigana"
Walibishana kitakatifu,Walibishana hadi wakapigana,Walibishana lakini hawakupigana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Walibishana kitakatifu, Options: 0) Walibishana hadi wakapigana 1) Walibishana lakini hawakupigana"
Upele humuota asiye na kucha,Bahati  hukumkuta asiye na uwezo wa kuitumia,Bahati humkuta mwenye uwezo wa kuitumia,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Upele humuota asiye na kucha, Options: 0) Bahati  hukumkuta asiye na uwezo wa kuitumia 1) Bahati humkuta mwenye uwezo wa kuitumia"
Jasho humtoka mwenye mwili,Bahati  hukumkuta asiye na uwezo wa kuitumia,Bahati humkuta mwenye uwezo wa kuitumia,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Jasho humtoka mwenye mwili, Options: 0) Bahati  hukumkuta asiye na uwezo wa kuitumia 1) Bahati humkuta mwenye uwezo wa kuitumia"
"Aisha, funga bakuli lako!","Aisha, funga mdomo wako","Aisha, endelea tu kuongea sana",0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Aisha, funga bakuli lako!, Options: 0) Aisha, funga mdomo wako 1) Aisha, endelea tu kuongea sana"
"Aisha, endelea tu kupiga mdomo","Aisha, funga mdomo wako","Aisha, endelea tu kuongea sana",1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Aisha, endelea tu kupiga mdomo, Options: 0) Aisha, funga mdomo wako 1) Aisha, endelea tu kuongea sana"
Hakuna marefu yasiyokuwa na ncha,Hakuna jambo lisilokua na mwisho,Kila jambo lina mwisho,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hakuna marefu yasiyokuwa na ncha, Options: 0) Hakuna jambo lisilokua na mwisho 1) Kila jambo lina mwisho"
Zimwi likujualo halikuli likakwisha,Hakuna jambo lisilokua na mwisho,Hakuna jambo lenye mwisho,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Zimwi likujualo halikuli likakwisha, Options: 0) Hakuna jambo lisilokua na mwisho 1) Hakuna jambo lenye mwisho"
Hassani hufanya mambo yake kama kobe,Hassani hufanya mambo yake taratibu,Hassani hufanya mambo yake kwa haraka,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hassani hufanya mambo yake kama kobe, Options: 0) Hassani hufanya mambo yake taratibu 1) Hassani hufanya mambo yake kwa haraka"
Hassani hufanya mambo yake kama anakimbizwa,Hassani hufanya mambo yake taratibu,Hassani hufanya mambo yake kwa haraka,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hassani hufanya mambo yake kama anakimbizwa, Options: 0) Hassani hufanya mambo yake taratibu 1) Hassani hufanya mambo yake kwa haraka"
Tatizo lako unapenda sana kutafuniwa,Tatizo lako unapenda sana kusaidiwa kufanya mambo yako,Tatizo lako haupendi kabisa kusaidiwa kufanya mambo yako,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tatizo lako unapenda sana kutafuniwa, Options: 0) Tatizo lako unapenda sana kusaidiwa kufanya mambo yako 1) Tatizo lako haupendi kabisa kusaidiwa kufanya mambo yako"
Tatizo lako unapenda kufa mwenyewe,Tatizo lako unapenda sana kusaidiwa kufanya mambo yako,Tatizo lako haupendi kabisa kusaidiwa kufanya mambo yako,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tatizo lako unapenda kufa mwenyewe, Options: 0) Tatizo lako unapenda sana kusaidiwa kufanya mambo yako 1) Tatizo lako haupendi kabisa kusaidiwa kufanya mambo yako"
